CABra ID  	 122
ANA ID    	 33780000
Longitude 	 -43.902   	 dd
Latitude  	 -3.462    	 dd
Area      	 12824.70  	 km²
Elevation 	 80.65     	 m
 
p_ref, tmin_ref, tmax_ref, rh_ref, wnd_ref and srad_ref product are derived from the Xavier et al. (2016) dataset
et_ref product is derived from the GLEAM dataset
pet_pm was estimated by Penman-Monteith method
pet_pt was estimated by Priestley & Taylor method
pet_hg was estimated by Hargreaves method
 
 Year	 Month	   Day	    p_ref	   tmin_ref	   tmax_ref	     rh_ref	    wnd_ref	   srad_ref	   et_ref	   pet_pm	   pet_pt	   pet_hg
     	      	      	       mm	         °C	         °C	          %	      m s¯¹	     MJ m¯²	       mm	       mm	       mm	       mm
 1980	     1	     1	    1.904	     23.873	     33.418	     72.237	      1.445	     19.529	    3.427	    4.492	    6.083	    4.996
 1980	     1	     2	    2.240	     23.050	     33.534	     68.397	      1.569	     19.669	    2.984	    4.886	    6.096	    4.994
 1980	     1	     3	    0.638	     23.517	     32.872	     75.047	      1.851	     15.980	    2.122	    3.427	    5.049	    4.049
 1980	     1	     4	    8.507	     23.603	     33.709	     75.626	      1.806	     18.615	    2.391	    4.337	    5.819	    4.763
 1980	     1	     5	    2.712	     23.515	     33.710	     77.333	      1.586	     19.072	    2.068	    3.612	    5.948	    4.877
 1980	     1	     6	    2.951	     23.881	     33.266	     73.309	      1.515	     17.762	    3.506	    4.098	    5.574	    4.537
 1980	     1	     7	    3.411	     23.200	     33.309	     77.677	      2.093	     17.530	    3.182	    3.908	    5.487	    4.447
 1980	     1	     8	    0.071	     23.411	     33.665	     69.069	      1.943	     18.649	    3.643	    4.340	    5.821	    4.760
 1980	     1	     9	   13.076	     23.026	     32.382	     76.360	      1.187	     15.164	    2.925	    3.653	    4.796	    3.801
 1980	     1	    10	   11.147	     22.261	     27.261	     90.713	      1.298	     10.169	    1.491	    2.321	    3.350	    2.384
 1980	     1	    11	   17.478	     22.428	     30.198	     85.133	      1.578	     13.214	    2.694	    2.847	    4.205	    3.211
 1980	     1	    12	   19.355	     21.934	     31.799	     75.011	      1.724	     16.958	    2.412	    4.164	    5.249	    4.172
 1980	     1	    13	    7.657	     22.436	     29.930	     89.482	      1.820	     10.391	    2.872	    2.448	    3.438	    2.517
 1980	     1	    14	   17.081	     22.081	     28.204	     87.857	      1.504	     10.940	    1.892	    2.770	    3.559	    2.587
 1980	     1	    15	   20.499	     21.435	     30.285	     84.832	      1.517	     15.103	    1.993	    3.606	    4.691	    3.632
 1980	     1	    16	    8.000	     21.574	     31.872	     78.493	      1.242	     21.930	    2.201	    4.616	    6.629	    5.378
 1980	     1	    17	    5.777	     22.512	     31.942	     80.944	      1.635	     19.069	    4.072	    4.076	    5.864	    4.729
 1980	     1	    18	    5.642	     21.932	     32.020	     81.816	      1.559	     18.028	    3.706	    4.262	    5.555	    4.447
 1980	     1	    19	   21.456	     21.188	     30.100	     81.741	      1.315	     11.529	    4.342	    2.981	    3.716	    2.759
 1980	     1	    20	   20.573	     20.632	     31.168	     82.795	      1.001	     16.795	    3.078	    3.757	    5.146	    4.043
 1980	     1	    21	    0.231	     23.211	     32.881	     75.503	      1.151	     21.575	    4.060	    4.827	    6.632	    5.448
 1980	     1	    22	    3.563	     23.709	     32.753	     77.895	      1.990	     23.451	    3.698	    5.205	    7.188	    5.946
 1980	     1	    23	    7.328	     23.189	     32.083	     79.674	      1.687	     20.803	    4.016	    4.505	    6.384	    5.206
 1980	     1	    24	    1.919	     22.053	     32.392	     71.273	      2.060	     25.400	    3.652	    5.595	    7.662	    6.299
 1980	     1	    25	    0.000	     22.802	     32.557	     68.027	      2.378	     24.888	    4.055	    6.091	    7.557	    6.234
 1980	     1	    26	    0.025	     22.997	     32.816	     69.476	      2.011	     25.219	    3.726	    5.867	    7.673	    6.349
 1980	     1	    27	    0.028	     23.336	     32.776	     73.766	      1.778	     23.404	    3.038	    5.256	    7.160	    5.911
 1980	     1	    28	    7.026	     23.076	     31.975	     77.068	      2.008	     19.686	    3.156	    4.458	    6.063	    4.915
 1980	     1	    29	   10.961	     23.016	     31.477	     79.937	      1.096	     14.906	    3.250	    3.142	    4.712	    3.699
 1980	     1	    30	    8.985	     22.856	     32.167	     77.315	      1.234	     19.743	    2.840	    4.642	    6.076	    4.928
 1980	     1	    31	    0.311	     24.058	     32.208	     77.251	      1.383	     17.080	    3.636	    3.537	    5.368	    4.322
 1980	     2	     1	    0.852	     23.103	     32.333	     74.807	      1.312	     18.540	    2.006	    4.348	    5.750	    4.648
 1980	     2	     2	    0.825	     22.759	     33.566	     69.970	      1.518	     23.133	    3.673	    5.626	    7.090	    5.857
 1980	     2	     3	    1.287	     23.793	     32.514	     82.951	      1.222	     15.775	    3.491	    3.704	    4.997	    3.993
 1980	     2	     4	    2.179	     23.241	     32.076	     84.295	      1.845	     16.354	    3.013	    3.755	    5.135	    4.095
 1980	     2	     5	    5.266	     23.038	     31.583	     88.908	      1.136	     11.801	    3.315	    2.686	    3.856	    2.932
 1980	     2	     6	   27.309	     22.491	     29.086	     86.950	      0.787	      9.628	    3.889	    2.301	    3.232	    2.312
 1980	     2	     7	    1.124	     22.189	     29.881	     85.731	      1.081	     14.832	    2.403	    3.291	    4.637	    3.581
 1980	     2	     8	    3.384	     22.635	     31.737	     79.416	      1.535	     18.905	    2.371	    4.365	    5.821	    4.684
 1980	     2	     9	    0.705	     22.699	     31.763	     77.140	      1.956	     19.965	    3.987	    4.567	    6.122	    4.952
 1980	     2	    10	   12.696	     22.903	     29.157	     87.893	      1.344	     10.992	    3.152	    2.547	    3.609	    2.654
 1980	     2	    11	   22.288	     22.385	     29.350	     91.078	      1.530	     12.497	    2.483	    2.807	    4.003	    3.006
 1980	     2	    12	    7.188	     22.293	     30.729	     86.318	      1.448	     17.048	    2.828	    3.625	    5.267	    4.161
 1980	     2	    13	    7.728	     22.176	     31.261	     86.166	      1.340	     16.168	    2.898	    3.617	    5.032	    3.964
 1980	     2	    14	    3.160	     23.044	     31.099	     86.280	      1.679	     17.431	    2.990	    3.720	    5.409	    4.309
 1980	     2	    15	   19.264	     21.724	     26.990	     91.501	      0.990	      9.858	    1.617	    2.179	    3.257	    2.289
 1980	     2	    16	    7.831	     22.108	     30.505	     84.295	      1.208	     15.627	    2.947	    3.272	    4.865	    3.797
 1980	     2	    17	   21.421	     22.131	     30.421	     87.999	      1.123	     14.240	    2.110	    3.275	    4.487	    3.458
 1980	     2	    18	   33.276	     21.754	     28.636	     91.886	      1.412	     10.396	    2.090	    2.335	    3.416	    2.462
 1980	     2	    19	   10.517	     21.165	     30.109	     89.462	      1.044	     13.354	    3.811	    2.948	    4.211	    3.195
 1980	     2	    20	   24.729	     22.258	     29.996	     86.043	      1.274	     15.770	    3.263	    3.529	    4.900	    3.816
