CABra ID  	 14
ANA ID    	 14710000
Longitude 	 -61.122   	 dd
Latitude  	 1.820     	 dd
Area      	 116641.61 	 km²
Elevation 	 321.99    	 m
 
p_ref, tmin_ref, tmax_ref, rh_ref, wnd_ref and srad_ref product are derived from the Xavier et al. (2016) dataset
et_ref product is derived from the GLEAM dataset
pet_pm was estimated by Penman-Monteith method
pet_pt was estimated by Priestley & Taylor method
pet_hg was estimated by Hargreaves method
 
 Year	 Month	   Day	    p_ref	   tmin_ref	   tmax_ref	     rh_ref	    wnd_ref	   srad_ref	   et_ref	   pet_pm	   pet_pt	   pet_hg
     	      	      	       mm	         °C	         °C	          %	      m s¯¹	     MJ m¯²	       mm	       mm	       mm	       mm
 1980	     1	     1	    0.464	     22.971	     31.603	     87.540	      1.389	     14.008	    3.260	    3.487	    4.466	    3.481
 1980	     1	     2	    0.544	     21.344	     30.610	     92.013	      1.221	     13.361	    3.333	    2.457	    4.227	    3.222
 1980	     1	     3	    0.262	     22.616	     30.414	     89.249	      1.785	     12.854	    3.164	    2.788	    4.120	    3.137
 1980	     1	     4	    3.626	     22.375	     31.040	     86.755	      1.769	     20.348	    3.073	    3.369	    6.200	    4.989
 1980	     1	     5	    0.178	     22.452	     30.725	     92.196	      1.687	     18.272	    2.805	    2.207	    5.613	    4.467
 1980	     1	     6	    0.000	     22.477	     32.132	     77.264	      1.808	     17.103	    3.373	    4.326	    5.326	    4.249
 1980	     1	     7	    0.000	     23.345	     30.997	     90.575	      2.272	     20.697	    3.128	    2.444	    6.335	    5.126
 1980	     1	     8	    0.153	     22.287	     32.331	     86.418	      1.990	     19.694	    2.453	    4.024	    6.056	    4.893
 1980	     1	     9	    0.000	     21.720	     32.236	     79.853	      2.107	     13.472	    2.136	    3.496	    4.294	    3.323
 1980	     1	    10	    0.000	     22.220	     31.606	     88.568	      2.151	     22.558	    2.825	    2.730	    6.841	    5.555
 1980	     1	    11	    0.031	     21.449	     32.584	     87.228	      2.186	     24.270	    2.955	    3.274	    7.339	    5.991
 1980	     1	    12	    0.016	     22.465	     32.964	     87.533	      1.755	     22.259	    3.013	    2.867	    6.819	    5.580
 1980	     1	    13	    0.000	     21.047	     33.037	     70.928	      1.758	     24.347	    2.792	    5.762	    7.364	    6.013
 1980	     1	    14	    0.014	     22.204	     33.559	     72.519	      2.014	     24.615	    2.898	    5.962	    7.517	    6.194
 1980	     1	    15	    0.028	     22.242	     33.498	     69.151	      1.613	     23.441	    3.142	    6.287	    7.175	    5.898
 1980	     1	    16	    0.000	     22.835	     32.864	     75.152	      1.647	     23.009	    3.144	    5.544	    7.049	    5.786
 1980	     1	    17	    0.080	     22.865	     33.307	     69.871	      1.758	     22.726	    3.152	    5.847	    6.985	    5.744
 1980	     1	    18	    0.000	     22.447	     32.071	     87.927	      1.754	     17.799	    3.133	    3.937	    5.524	    4.419
 1980	     1	    19	    0.014	     22.180	     32.778	     75.122	      1.107	     15.323	    3.802	    3.946	    4.836	    3.823
 1980	     1	    20	    0.362	     23.451	     32.253	     82.895	      1.508	     13.914	    2.533	    4.158	    4.469	    3.500
 1980	     1	    21	    2.950	     22.165	     32.506	     85.642	      1.099	     18.518	    3.294	    4.368	    5.729	    4.604
