CABra ID  	 150
ANA ID    	 38895000
Longitude 	 -35.048   	 dd
Latitude  	 -7.129    	 dd
Area      	 19942.69  	 km²
Elevation 	 478.17    	 m
 
p_ref, tmin_ref, tmax_ref, rh_ref, wnd_ref and srad_ref product are derived from the Xavier et al. (2016) dataset
et_ref product is derived from the GLEAM dataset
pet_pm was estimated by Penman-Monteith method
pet_pt was estimated by Priestley & Taylor method
pet_hg was estimated by Hargreaves method
 
 Year	 Month	   Day	    p_ref	   tmin_ref	   tmax_ref	     rh_ref	    wnd_ref	   srad_ref	   et_ref	   pet_pm	   pet_pt	   pet_hg
     	      	      	       mm	         °C	         °C	          %	      m s¯¹	     MJ m¯²	       mm	       mm	       mm	       mm
 1980	     1	     1	    0.020	     21.891	     32.429	     60.899	      3.279	     19.510	    0.574	    5.997	    6.046	    4.829
 1980	     1	     2	    0.239	     22.779	     32.578	     63.425	      3.192	     16.399	    0.508	    5.145	    5.200	    4.111
 1980	     1	     3	    1.098	     22.192	     32.551	     70.724	      2.301	     17.692	    0.969	    4.860	    5.544	    4.400
 1980	     1	     4	    5.122	     22.420	     32.511	     67.122	      2.735	     19.621	    1.327	    5.332	    6.097	    4.888
 1980	     1	     5	    1.222	     21.831	     32.696	     62.211	      2.537	     17.632	    1.157	    5.055	    5.522	    4.378
 1980	     1	     6	    0.390	     21.955	     31.006	     73.144	      2.865	     18.862	    1.322	    4.855	    5.830	    4.603
 1980	     1	     7	    1.977	     21.916	     31.691	     67.435	      3.528	     21.111	    1.247	    5.497	    6.480	    5.184
 1980	     1	     8	    0.233	     21.201	     32.148	     64.103	      3.292	     20.977	    0.832	    5.351	    6.436	    5.143
 1980	     1	     9	    0.543	     21.221	     32.609	     64.122	      2.969	     22.003	    0.989	    5.662	    6.741	    5.418
 1980	     1	    10	    0.717	     21.657	     32.708	     62.231	      2.848	     22.310	    0.953	    6.034	    6.849	    5.526
 1980	     1	    11	    2.138	     21.844	     30.413	     65.564	      2.623	     17.334	    1.550	    5.180	    5.386	    4.202
 1980	     1	    12	    2.571	     22.013	     31.163	     66.341	      2.817	     20.353	    1.338	    5.482	    6.254	    4.979
 1980	     1	    13	    1.350	     22.270	     31.536	     66.200	      3.232	     19.290	    1.270	    6.002	    5.974	    4.749
 1980	     1	    14	    0.468	     22.511	     32.240	     66.123	      2.447	     18.261	    1.140	    5.350	    5.708	    4.540
 1980	     1	    15	    1.124	     22.418	     30.422	     70.402	      2.377	     18.563	    1.082	    5.628	    5.746	    4.523
 1980	     1	    16	    0.523	     21.960	     31.983	     70.421	      2.709	     19.027	    1.175	    5.133	    5.902	    4.691
 1980	     1	    17	    1.075	     21.830	     32.051	     64.026	      3.463	     25.067	    1.123	    6.434	    7.627	    6.177
 1980	     1	    18	    1.983	     21.194	     26.970	     81.270	      2.016	     10.048	    0.757	    3.062	    3.335	    2.319
 1980	     1	    19	    1.444	     21.545	     30.409	     69.194	      3.596	     17.352	    1.055	    5.309	    5.378	    4.184
 1980	     1	    20	    0.081	     20.603	     31.496	     61.947	      3.224	     25.013	    0.863	    6.203	    7.534	    6.043
 1980	     1	    21	    0.284	     20.947	     31.826	     59.857	      2.958	     22.716	    0.702	    6.051	    6.908	    5.532
 1980	     1	    22	    0.210	     21.564	     31.044	     62.712	      2.980	     21.132	    0.546	    5.724	    6.459	    5.138
 1980	     1	    23	    0.584	     22.414	     30.894	     66.846	      3.785	     20.175	    0.769	    6.314	    6.212	    4.939
 1980	     1	    24	    1.605	     21.585	     31.113	     62.948	      3.866	     23.489	    0.795	    7.056	    7.125	    5.712
 1980	     1	    25	    0.018	     21.536	     31.599	     63.572	      3.610	     24.094	    0.612	    7.061	    7.316	    5.888
 1980	     1	    26	    0.051	     21.864	     31.608	     64.177	      3.403	     22.782	    0.610	    6.525	    6.956	    5.588
 1980	     1	    27	    0.374	     21.648	     30.878	     66.808	      2.594	     20.314	    0.517	    5.320	    6.221	    4.928
 1980	     1	    28	    0.873	     21.478	     31.388	     61.895	      2.949	     22.384	    0.879	    6.091	    6.817	    5.452
 1980	     1	    29	    0.217	     22.221	     31.717	     64.521	      2.958	     20.539	    0.769	    5.805	    6.334	    5.064
 1980	     1	    30	    0.051	     21.941	     32.170	     62.332	      3.167	     22.325	    0.622	    6.386	    6.849	    5.515
 1980	     1	    31	    1.026	     21.896	     32.171	     63.483	      3.227	     19.395	    0.649	    5.869	    6.011	    4.788
 1980	     2	     1	    0.377	     21.903	     31.926	     61.413	      2.829	     20.689	    0.669	    5.708	    6.372	    5.095
 1980	     2	     2	    0.164	     22.192	     31.495	     65.807	      3.032	     20.110	    0.654	    5.666	    6.209	    4.947
 1980	     2	     3	    0.112	     21.779	     31.449	     64.071	      2.495	     18.671	    0.552	    5.464	    5.787	    4.572
 1980	     2	     4	    0.587	     21.939	     31.556	     61.297	      3.776	     21.530	    0.554	    6.956	    6.604	    5.285
 1980	     2	     5	    0.956	     21.802	     31.977	     64.139	      2.753	     17.349	    0.376	    5.133	    5.427	    4.272
 1980	     2	     6	    1.266	     21.538	     31.047	     67.110	      2.481	     12.593	    1.121	    4.188	    4.077	    3.058
 1980	     2	     7	    3.413	     21.947	     28.654	     75.567	      2.337	     10.493	    0.692	    3.481	    3.490	    2.492
 1980	     2	     8	    5.803	     20.617	     28.732	     72.081	      2.771	     13.128	    1.058	    3.933	    4.163	    3.072
 1980	     2	     9	    1.915	     20.736	     30.349	     70.672	      2.726	     15.794	    1.536	    4.673	    4.921	    3.770
 1980	     2	    10	    1.490	     21.876	     30.664	     66.378	      2.820	     18.294	    2.239	    5.117	    5.670	    4.452
 1980	     2	    11	    2.278	     22.004	     31.815	     66.870	      2.714	     19.937	    2.185	    5.548	    6.160	    4.911
 1980	     2	    12	    4.469	     21.808	     31.347	     69.442	      2.561	     18.234	    3.074	    4.888	    5.664	    4.462
 1980	     2	    13	    7.964	     22.939	     32.080	     65.625	      2.799	     18.003	    2.743	    5.084	    5.653	    4.494
 1980	     2	    14	    1.473	     21.768	     31.376	     67.307	      2.414	     17.603	    2.774	    4.806	    5.480	    4.301
 1980	     2	    15	    8.399	     21.564	     30.409	     77.849	      3.002	     17.025	    2.319	    4.510	    5.289	    4.108
 1980	     2	    16	    3.968	     21.754	     30.635	     73.410	      2.806	     14.804	    1.618	    4.186	    4.689	    3.593
 1980	     2	    17	    2.197	     23.157	     31.134	     68.796	      3.198	     14.373	    2.438	    4.976	    4.612	    3.557
 1980	     2	    18	    5.585	     22.165	     31.646	     73.832	      2.048	     16.572	    2.711	    3.853	    5.208	    4.078
 1980	     2	    19	    7.746	     22.469	     31.938	     76.231	      1.611	     17.712	    2.178	    4.202	    5.547	    4.389
 1980	     2	    20	    9.706	     22.355	     31.045	     78.172	      1.580	     14.208	    2.883	    3.390	    4.546	    3.483
 1980	     2	    21	    9.557	     21.784	     29.616	     73.554	      2.209	     15.620	    3.478	    4.180	    4.891	    3.743
 1980	     2	    22	    2.045	     21.280	     30.922	     74.178	      2.035	     17.806	    2.622	    4.127	    5.510	    4.306
 1980	     2	    23	    3.076	     21.849	     29.819	     78.504	      2.012	     13.450	    2.633	    3.470	    4.308	    3.239
 1980	     2	    24	    1.728	     20.960	     30.292	     74.984	      2.242	     18.968	    3.053	    4.364	    5.804	    4.537
 1980	     2	    25	    4.825	     20.593	     28.325	     81.195	      2.078	     13.688	    2.779	    3.301	    4.309	    3.190
 1980	     2	    26	    7.239	     20.690	     29.398	     83.342	      2.115	     17.295	    1.837	    3.665	    5.305	    4.080
 1980	     2	    27	    1.734	     20.647	     30.407	     69.132	      2.415	     23.796	    2.954	    5.254	    7.139	    5.678
 1980	     2	    28	    1.295	     21.257	     30.083	     75.036	      2.168	     21.220	    2.152	    4.623	    6.432	    5.081
 1980	     2	    29	    1.271	     20.776	     28.582	     77.330	      1.912	     16.175	    3.050	    3.717	    4.985	    3.787
 1980	     3	     1	    1.711	     20.477	     29.059	     74.132	      2.496	     15.716	    2.438	    4.034	    4.866	    3.688
 1980	     3	     2	    5.420	     20.463	     28.653	     81.689	      1.745	     13.813	    3.312	    3.665	    4.341	    3.227
 1980	     3	     3	   14.877	     20.573	     28.754	     76.938	      1.711	     17.916	    3.112	    4.266	    5.454	    4.194
 1980	     3	     4	    4.543	     21.342	     29.093	     78.981	      1.682	     15.425	    2.984	    3.681	    4.810	    3.656
 1980	     3	     5	   14.909	     21.746	     28.397	     88.198	      1.840	     13.102	    3.252	    3.290	    4.181	    3.098
 1980	     3	     6	    7.769	     21.044	     28.970	     77.193	      2.642	     19.263	    2.572	    4.320	    5.840	    4.541
 1980	     3	     7	    1.217	     20.646	     29.617	     74.105	      1.946	     18.746	    3.009	    4.334	    5.702	    4.431
 1980	     3	     8	    0.777	     20.218	     30.354	     68.932	      2.760	     23.507	    3.341	    5.517	    7.031	    5.577
 1980	     3	     9	    0.124	     20.706	     29.202	     76.131	      2.613	     20.204	    2.912	    4.442	    6.092	    4.758
 1980	     3	    10	    0.186	     19.707	     29.851	     73.354	      2.565	     25.790	    2.681	    5.366	    7.625	    6.049
 1980	     3	    11	    0.309	     20.333	     29.958	     71.357	      2.733	     24.067	    2.921	    5.508	    7.176	    5.692
 1980	     3	    12	    5.018	     20.862	     27.283	     81.698	      2.221	     15.181	    3.016	    3.827	    4.689	    3.508
 1980	     3	    13	   11.912	     20.469	     28.251	     76.425	      2.149	     17.144	    2.923	    4.233	    5.228	    3.988
 1980	     3	    14	    3.072	     20.888	     29.866	     77.532	      1.819	     21.370	    1.978	    4.524	    6.441	    5.080
 1980	     3	    15	    2.160	     21.290	     29.957	     74.986	      2.246	     21.929	    3.275	    4.626	    6.614	    5.240
 1980	     3	    16	    0.793	     20.430	     30.325	     74.377	      2.598	     22.676	    2.647	    4.771	    6.803	    5.393
