CABra ID  	 151
ANA ID    	 39084010
Longitude 	 -35.233   	 dd
Latitude  	 -7.754    	 dd
Area      	 727.61    	 km²
Elevation 	 274.26    	 m
 
p_ref, tmin_ref, tmax_ref, rh_ref, wnd_ref and srad_ref product are derived from the Xavier et al. (2016) dataset
et_ref product is derived from the GLEAM dataset
pet_pm was estimated by Penman-Monteith method
pet_pt was estimated by Priestley & Taylor method
pet_hg was estimated by Hargreaves method
 
 Year	 Month	   Day	    p_ref	   tmin_ref	   tmax_ref	     rh_ref	    wnd_ref	   srad_ref	   et_ref	   pet_pm	   pet_pt	   pet_hg
     	      	      	       mm	         °C	         °C	          %	      m s¯¹	     MJ m¯²	       mm	       mm	       mm	       mm
 1980	     1	     1	    0.020	     21.390	     32.199	     64.687	      3.454	     20.887	    1.079	    6.054	    6.387	    5.130
 1980	     1	     2	    0.000	     21.749	     31.716	     68.092	      3.470	     15.608	    0.762	    5.060	    4.906	    3.829
 1980	     1	     3	    0.202	     20.688	     31.442	     76.943	      2.311	     16.603	    0.783	    4.417	    5.142	    4.011
 1980	     1	     4	    1.941	     21.899	     31.240	     68.185	      3.050	     19.443	    1.267	    5.618	    5.970	    4.751
 1980	     1	     5	    0.145	     21.555	     31.232	     69.183	      2.291	     16.121	    0.709	    4.422	    5.032	    3.924
 1980	     1	     6	    1.006	     21.671	     29.836	     81.375	      2.427	     17.135	    1.787	    4.104	    5.283	    4.110
 1980	     1	     7	    5.010	     21.945	     30.845	     72.415	      3.239	     21.950	    2.041	    5.242	    6.662	    5.343
 1980	     1	     8	    0.166	     20.404	     29.830	     71.685	      3.202	     19.594	    1.637	    4.717	    5.909	    4.632
 1980	     1	     9	    0.310	     19.979	     31.170	     70.445	      3.037	     24.179	    1.492	    5.727	    7.215	    5.776
 1980	     1	    10	    0.145	     21.232	     32.336	     69.232	      2.950	     23.138	    1.224	    5.612	    7.025	    5.682
 1980	     1	    11	    0.743	     21.310	     30.584	     69.494	      2.729	     19.977	    1.724	    5.463	    6.079	    4.816
 1980	     1	    12	    1.453	     21.308	     30.782	     72.623	      2.653	     20.151	    1.930	    5.021	    6.131	    4.867
 1980	     1	    13	    4.079	     23.010	     29.892	     70.075	      3.522	     18.908	    2.282	    5.665	    5.823	    4.608
 1980	     1	    14	    2.052	     21.483	     30.378	     74.017	      2.237	     18.479	    1.794	    4.734	    5.662	    4.451
 1980	     1	    15	    0.945	     22.216	     30.164	     73.857	      2.560	     20.127	    1.527	    5.729	    6.140	    4.877
 1980	     1	    16	    1.725	     21.762	     31.639	     76.378	      3.113	     19.547	    1.700	    4.827	    6.007	    4.791
 1980	     1	    17	    1.182	     21.884	     31.419	     69.583	      3.419	     25.497	    1.643	    6.066	    7.692	    6.243
