CABra ID  	 180
ANA ID    	 45480000
Longitude 	 -43.434   	 dd
Latitude  	 -13.259   	 dd
Area      	 273868.47 	 km²
Elevation 	 710.91    	 m
 
p_ref, tmin_ref, tmax_ref, rh_ref, wnd_ref and srad_ref product are derived from the Xavier et al. (2016) dataset
et_ref product is derived from the GLEAM dataset
pet_pm was estimated by Penman-Monteith method
pet_pt was estimated by Priestley & Taylor method
pet_hg was estimated by Hargreaves method
 
 Year	 Month	   Day	    p_ref	   tmin_ref	   tmax_ref	     rh_ref	    wnd_ref	   srad_ref	   et_ref	   pet_pm	   pet_pt	   pet_hg
     	      	      	       mm	         °C	         °C	          %	      m s¯¹	     MJ m¯²	       mm	       mm	       mm	       mm
 1980	     1	     1	   16.227	     19.869	     26.717	     91.005	      1.695	     12.495	    2.868	    2.663	    3.989	    2.832
 1980	     1	     2	   24.227	     18.809	     26.528	     82.755	      1.266	     15.749	    2.746	    3.227	    4.829	    3.522
 1980	     1	     3	    8.669	     18.772	     28.648	     80.503	      1.130	     18.752	    3.131	    3.887	    5.676	    4.285
 1980	     1	     4	    7.170	     18.733	     29.430	     78.264	      1.293	     23.660	    3.748	    4.803	    7.064	    5.466
 1980	     1	     5	    4.224	     18.680	     29.141	     76.326	      1.601	     23.215	    3.557	    4.789	    6.914	    5.330
 1980	     1	     6	    4.415	     18.239	     29.565	     77.482	      1.435	     24.599	    3.703	    4.872	    7.294	    5.649
 1980	     1	     7	    1.853	     18.870	     28.779	     80.251	      1.354	     20.373	    3.836	    4.245	    6.137	    4.686
 1980	     1	     8	    9.117	     19.242	     27.792	     84.023	      1.255	     13.694	    3.982	    3.060	    4.309	    3.124
 1980	     1	     9	    7.641	     19.161	     28.995	     76.936	      1.413	     19.847	    3.537	    4.223	    6.016	    4.599
 1980	     1	    10	    6.179	     19.486	     28.400	     80.717	      1.318	     16.969	    3.441	    3.730	    5.227	    3.921
 1980	     1	    11	   12.089	     19.471	     26.573	     89.491	      0.911	     12.007	    2.670	    2.593	    3.844	    2.700
 1980	     1	    12	   25.645	     18.885	     23.844	     93.174	      1.399	     10.684	    2.334	    2.167	    3.439	    2.307
 1980	     1	    13	   30.725	     18.742	     23.046	     93.654	      1.220	     10.566	    1.415	    2.160	    3.391	    2.252
 1980	     1	    14	   23.458	     18.933	     26.492	     90.749	      1.948	     12.960	    1.546	    2.733	    4.076	    2.891
 1980	     1	    15	   27.056	     19.455	     25.121	     91.894	      1.914	     10.895	    1.659	    2.327	    3.529	    2.406
 1980	     1	    16	   32.850	     19.104	     24.319	     92.827	      1.543	     11.352	    1.969	    2.332	    3.627	    2.479
 1980	     1	    17	   23.747	     19.302	     26.387	     87.911	      1.669	     15.272	    3.333	    3.168	    4.744	    3.473
 1980	     1	    18	   16.194	     19.315	     28.390	     84.859	      1.136	     18.628	    3.538	    3.850	    5.697	    4.318
 1980	     1	    19	    6.077	     18.944	     30.303	     79.867	      1.187	     21.993	    4.509	    4.572	    6.642	    5.153
 1980	     1	    20	    3.109	     19.512	     31.242	     77.909	      0.891	     24.104	    4.615	    4.937	    7.293	    5.741
