CABra ID  	 215
ANA ID    	 51120000
Longitude 	 -41.322   	 dd
Latitude  	 -12.841   	 dd
Area      	 2406.54   	 km²
Elevation 	 1139.93   	 m
 
p_ref, tmin_ref, tmax_ref, rh_ref, wnd_ref and srad_ref product are derived from the Xavier et al. (2016) dataset
et_ref product is derived from the GLEAM dataset
pet_pm was estimated by Penman-Monteith method
pet_pt was estimated by Priestley & Taylor method
pet_hg was estimated by Hargreaves method
 
 Year	 Month	   Day	    p_ref	   tmin_ref	   tmax_ref	     rh_ref	    wnd_ref	   srad_ref	   et_ref	   pet_pm	   pet_pt	   pet_hg
     	      	      	       mm	         °C	         °C	          %	      m s¯¹	     MJ m¯²	       mm	       mm	       mm	       mm
 1980	     1	     1	    2.228	     20.292	     25.847	     84.178	      0.680	     10.116	    2.963	    2.320	    3.397	    2.277
 1980	     1	     2	    5.212	     20.446	     27.521	     85.033	      0.959	     10.934	    2.119	    2.474	    3.638	    2.516
 1980	     1	     3	   14.341	     20.120	     29.452	     85.763	      1.072	     12.748	    2.916	    2.835	    4.148	    2.990
 1980	     1	     4	   21.518	     20.136	     26.766	     90.282	      1.141	     11.504	    1.434	    2.517	    3.774	    2.614
 1980	     1	     5	   32.042	     19.824	     26.719	     84.325	      1.313	     10.411	    1.937	    2.498	    3.473	    2.355
 1980	     1	     6	    3.397	     20.303	     27.745	     82.147	      1.914	     15.832	    2.343	    3.390	    4.968	    3.647
 1980	     1	     7	    4.796	     18.022	     29.122	     70.503	      1.801	     19.235	    3.946	    4.117	    5.853	    4.383
 1980	     1	     8	    0.163	     18.833	     27.519	     79.811	      1.807	     14.432	    3.871	    3.235	    4.534	    3.257
 1980	     1	     9	    6.042	     19.102	     28.868	     75.722	      2.251	     19.420	    3.476	    4.166	    5.939	    4.470
 1980	     1	    10	    7.635	     19.923	     29.672	     74.989	      1.493	     19.180	    4.318	    4.091	    5.930	    4.500
 1980	     1	    11	    6.785	     21.194	     29.117	     76.319	      1.482	     12.337	    2.759	    3.135	    4.059	    2.919
 1980	     1	    12	    3.026	     20.228	     28.854	     77.658	      0.983	     13.009	    3.470	    3.070	    4.214	    3.034
 1980	     1	    13	    6.746	     20.036	     28.176	     86.265	      1.238	     12.679	    1.106	    2.845	    4.108	    2.927
 1980	     1	    14	   21.333	     19.820	     26.806	     88.620	      1.117	     11.101	    2.943	    2.486	    3.658	    2.514
 1980	     1	    15	   21.042	     20.164	     27.147	     84.401	      1.011	     11.844	    1.608	    2.610	    3.871	    2.705
 1980	     1	    16	    7.099	     19.664	     29.370	     76.798	      0.832	     17.230	    3.982	    3.667	    5.368	    4.016
 1980	     1	    17	    1.433	     20.709	     30.013	     71.797	      2.231	     19.774	    4.134	    4.487	    6.136	    4.701
 1980	     1	    18	    0.624	     20.170	     29.740	     71.466	      1.764	     20.365	    5.035	    4.390	    6.273	    4.796
 1980	     1	    19	    1.807	     19.313	     29.700	     73.639	      1.549	     21.288	    3.678	    4.405	    6.495	    4.961
 1980	     1	    20	    0.000	     19.831	     29.951	     74.247	      0.983	     18.298	    4.349	    3.897	    5.688	    4.302
 1980	     1	    21	    0.043	     20.557	     31.736	     67.271	      1.333	     25.514	    4.175	    5.427	    7.839	    6.176
 1980	     1	    22	    0.389	     20.550	     31.005	     70.199	      1.548	     22.958	    4.034	    5.022	    7.069	    5.510
 1980	     1	    23	    0.140	     20.031	     30.590	     69.940	      1.720	     23.189	    4.496	    5.139	    7.097	    5.506
 1980	     1	    24	    0.000	     20.095	     30.644	     69.408	      1.781	     22.375	    4.035	    4.943	    6.870	    5.320
 1980	     1	    25	    0.046	     20.568	     30.130	     69.341	      1.451	     21.532	    4.051	    4.959	    6.631	    5.117
 1980	     1	    26	    0.196	     20.910	     31.414	     67.307	      1.658	     22.911	    3.783	    5.211	    7.086	    5.548
 1980	     1	    27	    0.013	     19.449	     30.911	     74.430	      0.887	     19.528	    3.486	    4.259	    6.045	    4.623
 1980	     1	    28	    3.473	     21.151	     29.227	     82.281	      1.383	     13.757	    2.108	    3.262	    4.451	    3.258
 1980	     1	    29	   10.113	     20.976	     28.553	     87.543	      1.606	     10.892	    2.419	    2.577	    3.650	    2.554
 1980	     1	    30	   10.276	     20.734	     30.363	     85.290	      1.226	     14.873	    2.376	    3.329	    4.768	    3.551
 1980	     1	    31	   20.549	     21.601	     27.990	     87.224	      0.877	     11.997	    2.840	    2.658	    3.962	    2.815
 1980	     2	     1	   30.786	     21.462	     28.418	     83.860	      1.634	     10.865	    2.571	    2.617	    3.653	    2.558
 1980	     2	     2	    9.326	     21.252	     29.300	     86.053	      1.538	     13.626	    1.864	    3.057	    4.419	    3.233
 1980	     2	     3	    7.872	     21.272	     27.824	     87.018	      1.728	     10.958	    2.093	    2.456	    3.667	    2.556
 1980	     2	     4	    7.746	     21.397	     28.644	     81.652	      2.043	     12.696	    2.749	    3.045	    4.156	    2.994
 1980	     2	     5	    6.185	     21.142	     26.938	     85.269	      0.979	     11.497	    2.565	    2.520	    3.799	    2.650
 1980	     2	     6	    8.225	     21.681	     27.446	     86.658	      0.941	     11.652	    3.135	    2.594	    3.862	    2.719
 1980	     2	     7	   10.536	     21.427	     28.022	     89.182	      1.290	     10.400	    2.141	    2.396	    3.521	    2.436
 1980	     2	     8	    8.359	     20.930	     29.070	     82.852	      1.296	     16.479	    1.960	    3.489	    5.194	    3.885
 1980	     2	     9	   11.040	     20.902	     26.880	     86.407	      1.857	     15.011	    2.938	    2.954	    4.742	    3.449
 1980	     2	    10	    6.703	     20.452	     27.684	     79.402	      1.878	     16.777	    4.670	    3.496	    5.227	    3.871
 1980	     2	    11	    3.788	     20.147	     28.875	     73.115	      1.674	     22.173	    4.650	    4.491	    6.745	    5.168
 1980	     2	    12	    2.626	     20.611	     29.267	     76.377	      1.500	     19.059	    4.259	    4.170	    5.906	    4.487
 1980	     2	    13	    3.461	     20.835	     29.393	     78.421	      1.452	     17.179	    4.615	    3.804	    5.391	    4.061
 1980	     2	    14	    0.675	     21.429	     26.588	     82.232	      1.683	     10.388	    3.517	    2.427	    3.502	    2.392
 1980	     2	    15	    2.094	     19.160	     24.920	     92.312	      1.347	      9.941	    1.320	    2.148	    3.306	    2.181
 1980	     2	    16	    7.518	     19.182	     25.576	     86.760	      1.384	     12.848	    2.058	    2.678	    4.078	    2.843
 1980	     2	    17	   20.286	     18.448	     23.130	     94.137	      1.029	      9.888	    2.424	    1.997	    3.249	    2.102
 1980	     2	    18	   11.789	     19.197	     27.543	     89.578	      1.163	     11.128	    3.934	    2.442	    3.652	    2.524
 1980	     2	    19	   15.383	     20.248	     26.686	     89.226	      1.939	     10.277	    2.271	    2.277	    3.442	    2.336
 1980	     2	    20	    3.074	     20.224	     28.044	     84.331	      1.186	     15.616	    3.395	    3.175	    4.905	    3.607
 1980	     2	    21	   19.596	     20.131	     25.423	     87.973	      1.551	     10.863	    3.454	    2.346	    3.579	    2.428
 1980	     2	    22	   15.798	     20.222	     29.178	     76.857	      1.289	     22.064	    4.584	    4.402	    6.724	    5.165
 1980	     2	    23	    2.453	     20.184	     28.199	     83.881	      1.143	     17.278	    4.297	    3.595	    5.361	    3.996
 1980	     2	    24	    0.545	     19.900	     29.686	     75.078	      1.880	     22.247	    4.099	    4.686	    6.780	    5.219
 1980	     2	    25	    0.191	     19.702	     29.581	     75.625	      1.346	     20.178	    4.398	    4.097	    6.186	    4.717
 1980	     2	    26	    1.210	     19.742	     29.138	     76.669	      1.485	     19.887	    4.498	    3.846	    6.092	    4.627
 1980	     2	    27	    1.030	     20.445	     29.595	     80.867	      1.659	     19.789	    4.463	    4.026	    6.106	    4.667
 1980	     2	    28	    5.299	     20.007	     29.376	     81.601	      1.376	     18.253	    4.263	    3.697	    5.654	    4.272
 1980	     2	    29	    2.100	     19.590	     27.538	     83.442	      1.656	     15.062	    3.519	    3.122	    4.718	    3.432
 1980	     3	     1	    2.696	     19.372	     27.781	     84.648	      1.473	     16.543	    4.264	    3.221	    5.117	    3.770
 1980	     3	     2	    4.278	     19.610	     27.100	     85.254	      1.447	     12.569	    2.923	    2.699	    4.038	    2.849
 1980	     3	     3	    2.102	     19.147	     27.139	     85.954	      1.886	     14.715	    3.847	    3.093	    4.599	    3.318
 1980	     3	     4	    4.318	     19.814	     28.246	     82.422	      1.474	     14.983	    3.562	    3.207	    4.716	    3.452
 1980	     3	     5	    3.040	     19.155	     27.683	     78.923	      1.709	     17.029	    3.879	    3.464	    5.235	    3.866
