CABra ID  	 33
ANA ID    	 16700000
Longitude 	 -55.958   	 dd
Latitude  	 2.226     	 dd
Area      	 818.09    	 km²
Elevation 	 434.17    	 m
 
p_ref, tmin_ref, tmax_ref, rh_ref, wnd_ref and srad_ref product are derived from the Xavier et al. (2016) dataset
et_ref product is derived from the GLEAM dataset
pet_pm was estimated by Penman-Monteith method
pet_pt was estimated by Priestley & Taylor method
pet_hg was estimated by Hargreaves method
 
 Year	 Month	   Day	    p_ref	   tmin_ref	   tmax_ref	     rh_ref	    wnd_ref	   srad_ref	   et_ref	   pet_pm	   pet_pt	   pet_hg
     	      	      	       mm	         °C	         °C	          %	      m s¯¹	     MJ m¯²	       mm	       mm	       mm	       mm
 1980	     1	     1	    8.992	     22.905	     31.818	     84.587	      1.769	     21.111	    3.469	    4.590	    6.480	    5.251
 1980	     1	     2	    7.703	     22.452	     31.532	     90.628	      1.365	     17.466	    4.331	    2.905	    5.425	    4.309
 1980	     1	     3	    4.844	     22.905	     30.363	     90.620	      1.939	     13.625	    4.389	    3.074	    4.351	    3.335
 1980	     1	     4	    5.613	     23.171	     31.328	     84.466	      2.015	     19.857	    1.857	    4.097	    6.118	    4.927
 1980	     1	     5	    1.881	     22.916	     30.546	     87.396	      2.673	     16.664	    2.342	    3.159	    5.194	    4.087
 1980	     1	     6	    3.980	     22.551	     31.574	     80.927	      1.709	     17.567	    2.697	    4.074	    5.459	    4.341
 1980	     1	     7	    7.520	     22.918	     30.110	     90.177	      2.561	     16.070	    4.830	    2.530	    5.020	    3.922
 1980	     1	     8	    9.734	     22.471	     30.937	     86.720	      1.620	     15.954	    2.795	    3.548	    4.992	    3.911
 1980	     1	     9	    3.770	     22.704	     30.606	     83.680	      1.938	     12.271	    3.193	    2.789	    3.979	    3.005
 1980	     1	    10	   10.305	     22.753	     28.967	     90.963	      1.732	     15.357	    2.591	    2.485	    4.795	    3.693
 1980	     1	    11	    1.951	     22.185	     29.964	     91.022	      1.757	     16.536	    2.346	    2.634	    5.122	    3.996
 1980	     1	    12	    7.789	     22.460	     27.921	     96.658	      1.401	     10.669	    1.924	    2.056	    3.510	    2.526
 1980	     1	    13	    3.971	     22.363	     29.694	     85.270	      1.218	     17.722	    1.978	    2.360	    5.448	    4.278
 1980	     1	    14	   20.953	     22.079	     29.430	     82.021	      2.047	     17.250	    2.701	    2.497	    5.302	    4.138
 1980	     1	    15	    1.914	     22.288	     31.526	     78.788	      1.774	     21.178	    1.849	    3.427	    6.469	    5.215
 1980	     1	    16	    9.656	     22.340	     31.671	     84.373	      1.741	     22.525	    2.509	    4.158	    6.860	    5.559
 1980	     1	    17	    1.064	     22.743	     32.425	     79.076	      1.844	     22.477	    1.920	    4.503	    6.892	    5.619
 1980	     1	    18	    3.570	     22.451	     31.639	     84.515	      1.712	     19.864	    3.739	    4.367	    6.108	    4.907
 1980	     1	    19	    3.182	     22.813	     29.940	     86.715	      1.073	     13.071	    4.390	    2.293	    4.195	    3.181
 1980	     1	    20	    3.924	     22.158	     31.820	     83.767	      1.899	     19.738	    3.718	    4.324	    6.069	    4.869
 1980	     1	    21	    3.859	     22.893	     30.573	     87.039	      1.517	     17.417	    5.130	    4.261	    5.409	    4.272
 1980	     1	    22	    9.500	     22.328	     30.907	     89.791	      1.443	     15.615	    7.597	    3.472	    4.899	    3.820
 1980	     1	    23	    3.967	     22.855	     30.513	     85.100	      2.219	     17.687	    6.295	    3.187	    5.482	    4.334
 1980	     1	    24	    6.445	     22.796	     31.446	     85.675	      2.289	     17.193	    4.225	    3.817	    5.366	    4.254
 1980	     1	    25	    0.776	     23.027	     31.944	     82.166	      2.575	     24.213	    4.027	    5.328	    7.390	    6.039
 1980	     1	    26	    5.488	     23.046	     31.526	     84.119	      2.003	     18.318	    5.310	    4.622	    5.694	    4.549
 1980	     1	    27	    0.815	     23.413	     31.736	     85.037	      1.883	     15.692	    3.693	    4.252	    4.973	    3.922
 1980	     1	    28	    1.990	     23.514	     31.318	     85.075	      1.908	     19.692	    3.259	    3.801	    6.094	    4.904
 1980	     1	    29	   26.000	     22.271	     28.172	     87.482	      1.934	     15.445	    2.099	    2.079	    4.794	    3.660
 1980	     1	    30	    9.539	     22.716	     29.739	     91.485	      1.394	     12.021	    2.264	    2.307	    3.908	    2.915
 1980	     1	    31	    5.262	     22.971	     30.592	     84.902	      1.154	     19.432	    3.160	    3.457	    5.980	    4.772
 1980	     2	     1	   25.234	     23.138	     30.867	     84.293	      1.748	     12.886	    5.683	    3.104	    4.171	    3.180
 1980	     2	     2	   22.688	     23.079	     29.764	     83.075	      1.796	     16.264	    5.030	    3.688	    5.082	    3.961
 1980	     2	     3	    9.195	     22.742	     30.957	     87.059	      1.475	     18.197	    3.974	    2.586	    5.638	    4.475
 1980	     2	     4	    4.078	     23.043	     30.672	     78.684	      1.325	     14.055	    3.455	    2.643	    4.490	    3.457
 1980	     2	     5	    0.262	     23.080	     30.318	     86.971	      1.882	     12.595	    2.991	    3.174	    4.084	    3.087
 1980	     2	     6	    0.394	     23.557	     31.742	     80.880	      2.184	     18.848	    2.136	    3.768	    5.873	    4.718
 1980	     2	     7	    0.596	     22.939	     31.327	     86.336	      2.131	     23.033	    2.186	    4.374	    7.028	    5.700
 1980	     2	     8	    0.418	     23.672	     32.288	     75.510	      2.075	     22.082	    3.248	    4.755	    6.821	    5.568
 1980	     2	     9	    1.000	     23.566	     31.725	     76.527	      1.683	     20.535	    2.977	    3.089	    6.354	    5.140
 1980	     2	    10	    6.074	     22.362	     29.687	     92.331	      2.144	     12.496	    1.366	    2.582	    4.032	    3.016
 1980	     2	    11	    4.754	     22.867	     31.959	     82.894	      2.053	     17.987	    2.057	    4.210	    5.613	    4.479
 1980	     2	    12	    3.002	     23.473	     30.699	     87.213	      2.071	     16.404	    3.957	    3.460	    5.160	    4.056
 1980	     2	    13	    2.002	     23.098	     31.625	     80.406	      1.883	     20.135	    2.588	    4.101	    6.222	    5.009
 1980	     2	    14	    1.169	     23.045	     30.925	     82.372	      1.478	     16.253	    2.451	    2.571	    5.110	    4.009
 1980	     2	    15	    3.691	     22.651	     31.228	     81.366	      2.005	     18.272	    1.999	    3.347	    5.669	    4.503
 1980	     2	    16	    3.221	     22.758	     30.452	     88.176	      1.790	     18.249	    2.588	    3.204	    5.646	    4.463
 1980	     2	    17	    2.025	     22.611	     31.217	     86.407	      1.873	     23.092	    1.967	    4.496	    7.032	    5.687
