CABra ID  	 379
ANA ID    	 60100000
Longitude 	 -46.973   	 dd
Latitude  	 -18.892   	 dd
Area      	 84.36     	 km²
Elevation 	 1024.23   	 m
 
p_ref, tmin_ref, tmax_ref, rh_ref, wnd_ref and srad_ref product are derived from the Xavier et al. (2016) dataset
et_ref product is derived from the GLEAM dataset
pet_pm was estimated by Penman-Monteith method
pet_pt was estimated by Priestley & Taylor method
pet_hg was estimated by Hargreaves method
 
 Year	 Month	   Day	    p_ref	   tmin_ref	   tmax_ref	     rh_ref	    wnd_ref	   srad_ref	   et_ref	   pet_pm	   pet_pt	   pet_hg
     	      	      	       mm	         °C	         °C	          %	      m s¯¹	     MJ m¯²	       mm	       mm	       mm	       mm
 1980	     1	     1	   24.266	     18.553	     24.444	     91.805	      1.186	     12.093	    1.827	    2.420	    3.856	    2.618
 1980	     1	     2	    6.625	     15.935	     27.622	     69.283	      1.271	     22.327	    2.050	    4.406	    6.562	    4.867
 1980	     1	     3	    0.000	     16.853	     28.974	     73.318	      0.587	     25.223	    3.258	    4.816	    7.462	    5.656
 1980	     1	     4	    0.000	     17.490	     30.193	     71.626	      1.115	     27.604	    3.880	    5.474	    8.228	    6.331
 1980	     1	     5	    0.604	     17.830	     28.634	     70.086	      1.906	     27.017	    4.074	    5.468	    7.999	    6.106
 1980	     1	     6	    0.000	     18.280	     29.931	     72.420	      1.507	     27.071	    4.064	    5.456	    8.104	    6.248
 1980	     1	     7	    1.263	     18.366	     26.635	     91.277	      1.446	     14.685	    3.789	    2.996	    4.578	    3.260
 1980	     1	     8	   14.445	     18.006	     26.750	     89.813	      0.945	     13.561	    2.363	    2.821	    4.269	    3.001
 1980	     1	     9	   29.047	     17.728	     25.866	     88.264	      1.741	     13.951	    1.290	    2.947	    4.344	    3.043
 1980	     1	    10	    8.867	     19.797	     27.174	     85.135	      1.989	     16.287	    2.122	    3.463	    5.071	    3.704
 1980	     1	    11	    8.852	     18.406	     25.632	     87.638	      0.986	     13.539	    2.106	    2.855	    4.253	    2.969
 1980	     1	    12	   10.898	     18.176	     23.521	     92.842	      0.985	     11.051	    1.488	    2.327	    3.558	    2.353
 1980	     1	    13	   16.938	     18.137	     23.980	     92.870	      1.229	     12.386	    2.422	    2.524	    3.909	    2.651
 1980	     1	    14	    8.430	     18.087	     26.427	     86.498	      1.883	     16.863	    1.404	    3.460	    5.143	    3.721
 1980	     1	    15	    6.570	     19.481	     25.633	     88.828	      1.890	     12.407	    1.792	    2.745	    3.987	    2.758
 1980	     1	    16	   11.594	     18.659	     22.718	     97.207	      1.718	     10.401	    1.851	    2.006	    3.392	    2.205
 1980	     1	    17	   49.406	     17.841	     24.640	     93.108	      1.928	     11.254	    2.247	    2.370	    3.619	    2.420
 1980	     1	    18	   22.063	     18.467	     24.751	     90.084	      1.321	     12.201	    3.148	    2.551	    3.885	    2.648
 1980	     1	    19	   12.953	     18.059	     28.163	     87.438	      0.965	     16.754	    4.525	    3.464	    5.159	    3.775
 1980	     1	    20	    7.172	     19.209	     30.026	     79.628	      0.928	     23.750	    4.024	    4.877	    7.207	    5.549
 1980	     1	    21	    5.848	     19.107	     30.522	     78.589	      0.799	     22.784	    4.036	    4.654	    6.948	    5.348
 1980	     1	    22	    0.526	     18.731	     29.739	     87.816	      1.086	     18.613	    4.719	    3.831	    5.737	    4.309
 1980	     1	    23	   24.766	     18.349	     28.604	     84.870	      1.315	     17.901	    4.311	    3.702	    5.493	    4.070
 1980	     1	    24	    3.217	     18.613	     29.601	     79.666	      0.897	     21.903	    3.884	    4.484	    6.643	    5.056
 1980	     1	    25	    6.840	     20.176	     28.978	     82.248	      1.192	     19.260	    3.677	    4.048	    5.949	    4.496
 1980	     1	    26	    8.945	     18.724	     27.412	     88.812	      0.855	     16.236	    3.517	    3.347	    5.021	    3.655
 1980	     1	    27	   11.352	     18.758	     29.253	     82.368	      0.932	     20.271	    4.103	    4.153	    6.181	    4.668
 1980	     1	    28	    9.445	     19.662	     29.443	     83.284	      0.727	     19.395	    4.532	    3.944	    5.979	    4.524
 1980	     1	    29	   16.766	     18.672	     29.950	     81.089	      0.694	     20.964	    3.869	    4.216	    6.394	    4.863
 1980	     1	    30	    5.090	     19.980	     28.802	     81.106	      0.890	     16.222	    3.488	    3.449	    5.094	    3.770
 1980	     1	    31	   14.164	     19.321	     26.942	     87.464	      1.308	     14.073	    3.021	    2.901	    4.447	    3.173
 1980	     2	     1	   18.203	     19.001	     28.749	     85.890	      0.950	     17.553	    3.909	    3.569	    5.423	    4.029
 1980	     2	     2	    9.461	     20.635	     25.380	     92.704	      1.417	     10.461	    3.230	    2.256	    3.496	    2.351
 1980	     2	     3	    7.820	     20.318	     27.255	     89.414	      1.367	     11.798	    2.507	    2.590	    3.868	    2.702
 1980	     2	     4	    2.543	     19.354	     28.869	     80.211	      1.188	     18.307	    4.148	    3.821	    5.646	    4.226
 1980	     2	     5	    3.063	     19.745	     27.701	     83.433	      0.739	     16.795	    4.162	    3.522	    5.213	    3.841
 1980	     2	     6	    2.441	     18.508	     31.060	     79.416	      0.619	     23.178	    4.001	    4.673	    7.049	    5.437
 1980	     2	     7	    0.903	     20.574	     31.315	     80.568	      0.981	     19.985	    4.703	    4.248	    6.232	    4.815
 1980	     2	     8	   12.391	     19.559	     29.168	     81.474	      0.811	     17.317	    3.117	    3.670	    5.386	    4.022
 1980	     2	     9	    0.524	     20.470	     29.003	     75.835	      2.014	     22.257	    4.352	    4.766	    6.793	    5.215
 1980	     2	    10	    0.000	     18.896	     28.876	     77.230	      1.467	     20.979	    3.142	    4.350	    6.364	    4.817
 1980	     2	    11	    0.000	     19.137	     28.334	     74.698	      1.969	     21.483	    4.559	    4.542	    6.493	    4.915
 1980	     2	    12	    0.000	     18.956	     29.146	     81.887	      1.775	     19.438	    2.872	    4.089	    5.947	    4.481
 1980	     2	    13	   19.766	     18.357	     21.999	     95.496	      1.579	     10.038	    2.379	    1.979	    3.271	    2.100
 1980	     2	    14	   43.031	     16.893	     20.512	     91.029	      2.551	     10.018	    0.991	    2.187	    3.198	    2.014
 1980	     2	    15	    5.211	     15.862	     20.167	     89.467	      2.219	     10.307	    3.373	    2.153	    3.230	    2.033
 1980	     2	    16	    6.016	     16.130	     23.331	     87.810	      1.940	     11.149	    1.398	    2.340	    3.508	    2.305
 1980	     2	    17	   19.031	     16.666	     22.855	     93.142	      1.371	     11.047	    2.670	    2.141	    3.489	    2.285
 1980	     2	    18	   40.500	     17.566	     23.310	     93.827	      1.574	     10.375	    2.699	    2.171	    3.353	    2.185
 1980	     2	    19	   11.039	     17.969	     27.486	     84.837	      1.505	     22.309	    3.135	    4.312	    6.628	    4.980
 1980	     2	    20	    0.007	     14.841	     28.883	     74.942	      0.839	     27.186	    3.498	    5.210	    7.876	    5.939
 1980	     2	    21	    0.000	     17.724	     29.992	     70.357	      0.615	     25.807	    4.471	    4.935	    7.701	    5.921
 1980	     2	    22	    0.000	     19.457	     28.052	     77.672	      1.484	     21.252	    2.708	    4.277	    6.424	    4.864
 1980	     2	    23	    0.000	     18.994	     29.559	     69.336	      1.545	     18.325	    3.909	    4.299	    5.645	    4.247
 1980	     2	    24	    0.232	     19.296	     29.975	     74.027	      1.348	     21.426	    3.958	    4.520	    6.535	    5.008
 1980	     2	    25	    0.695	     19.406	     29.734	     73.874	      1.096	     21.416	    2.993	    4.400	    6.527	    4.998
 1980	     2	    26	    0.492	     18.486	     28.474	     77.398	      1.368	     16.623	    3.481	    3.618	    5.127	    3.779
 1980	     2	    27	    3.686	     18.552	     27.261	     87.151	      1.052	     11.748	    1.804	    2.578	    3.793	    2.634
 1980	     2	    28	   11.055	     18.252	     27.036	     83.466	      0.962	     13.217	    2.806	    2.853	    4.170	    2.944
 1980	     2	    29	    0.471	     18.953	     28.870	     75.046	      1.277	     24.520	    4.414	    4.854	    7.339	    5.633
 1980	     3	     1	    0.000	     18.500	     28.729	     71.955	      1.553	     24.518	    4.236	    4.962	    7.309	    5.593
 1980	     3	     2	    0.000	     18.286	     28.708	     72.504	      1.572	     25.026	    3.947	    5.085	    7.438	    5.692
 1980	     3	     3	    0.000	     17.310	     28.684	     75.345	      1.047	     15.984	    3.998	    3.466	    4.913	    3.592
 1980	     3	     4	    0.060	     17.787	     28.640	     73.986	      1.241	     20.654	    3.490	    4.221	    6.199	    4.666
 1980	     3	     5	    0.000	     17.223	     28.639	     75.293	      1.395	     22.529	    3.904	    4.504	    6.688	    5.054
 1980	     3	     6	    0.000	     17.790	     28.480	     73.369	      1.903	     24.409	    3.721	    5.066	    7.226	    5.503
 1980	     3	     7	    0.000	     17.262	     29.508	     65.953	      1.082	     25.428	    3.565	    5.021	    7.533	    5.768
 1980	     3	     8	    0.000	     17.315	     30.609	     63.884	      1.192	     25.281	    3.878	    5.081	    7.546	    5.815
