CABra ID  	 411
ANA ID    	 60855000
Longitude 	 -49.698   	 dd
Latitude  	 -19.036   	 dd
Area      	 5242.03   	 km²
Elevation 	 637.44    	 m
 
p_ref, tmin_ref, tmax_ref, rh_ref, wnd_ref and srad_ref product are derived from the Xavier et al. (2016) dataset
et_ref product is derived from the GLEAM dataset
pet_pm was estimated by Penman-Monteith method
pet_pt was estimated by Priestley & Taylor method
pet_hg was estimated by Hargreaves method
 
 Year	 Month	   Day	    p_ref	   tmin_ref	   tmax_ref	     rh_ref	    wnd_ref	   srad_ref	   et_ref	   pet_pm	   pet_pt	   pet_hg
     	      	      	       mm	         °C	         °C	          %	      m s¯¹	     MJ m¯²	       mm	       mm	       mm	       mm
 1980	     1	     1	   20.653	     16.681	     25.667	     85.107	      1.547	     22.802	    2.234	    2.782	    6.533	    4.893
 1980	     1	     2	    0.457	     14.656	     27.895	     76.353	      0.958	     24.934	    2.422	    4.720	    7.102	    5.368
 1980	     1	     3	    0.002	     15.792	     30.273	     73.882	      1.068	     29.545	    3.504	    5.730	    8.560	    6.645
 1980	     1	     4	    0.001	     16.551	     31.819	     70.642	      1.200	     29.597	    3.988	    5.962	    8.712	    6.845
 1980	     1	     5	    0.001	     18.225	     31.330	     72.089	      1.984	     28.262	    4.225	    5.834	    8.397	    6.628
 1980	     1	     6	    0.511	     19.889	     31.250	     75.165	      1.654	     25.624	    4.806	    5.463	    7.726	    6.121
 1980	     1	     7	    1.404	     19.460	     28.761	     90.440	      1.291	     14.351	    4.343	    3.084	    4.502	    3.313
 1980	     1	     8	   31.258	     19.179	     25.964	     91.481	      1.447	     13.245	    2.075	    2.750	    4.143	    2.945
 1980	     1	     9	    7.047	     20.079	     27.382	     91.832	      1.639	     14.676	    2.541	    3.074	    4.582	    3.359
 1980	     1	    10	    7.486	     20.461	     29.027	     85.823	      2.290	     22.168	    3.763	    4.513	    6.685	    5.195
 1980	     1	    11	    2.253	     20.133	     28.686	     89.406	      1.405	     16.378	    3.045	    3.359	    5.071	    3.808
 1980	     1	    12	   17.151	     19.247	     26.962	     91.613	      1.181	     12.733	    2.570	    2.666	    4.029	    2.869
 1980	     1	    13	   12.186	     19.542	     28.882	     84.276	      2.099	     21.526	    3.143	    4.387	    6.463	    4.983
 1980	     1	    14	    3.245	     16.357	     28.708	     80.804	      2.103	     21.182	    3.601	    4.444	    6.216	    4.704
 1980	     1	    15	    2.790	     19.810	     28.124	     82.643	      2.179	     19.595	    3.177	    4.080	    5.917	    4.508
 1980	     1	    16	    5.899	     19.952	     26.692	     88.557	      1.617	     15.507	    2.433	    3.193	    4.785	    3.518
 1980	     1	    17	    7.144	     19.715	     28.840	     84.015	      1.928	     18.316	    2.610	    3.822	    5.592	    4.253
 1980	     1	    18	   20.545	     19.545	     25.301	     91.607	      2.047	     12.936	    2.925	    2.612	    4.059	    2.866
 1980	     1	    19	    6.294	     19.217	     27.394	     90.340	      1.281	     13.709	    2.348	    2.875	    4.293	    3.104
 1980	     1	    20	    2.956	     19.973	     31.351	     85.901	      1.435	     22.946	    4.966	    4.767	    6.969	    5.493
 1980	     1	    21	    3.870	     18.809	     30.318	     85.549	      1.136	     18.627	    4.578	    4.009	    5.680	    4.347
 1980	     1	    22	    0.248	     20.029	     31.022	     89.878	      1.448	     20.554	    4.196	    4.234	    6.286	    4.906
 1980	     1	    23	   27.795	     18.780	     30.288	     87.281	      1.722	     20.025	    4.723	    4.112	    6.062	    4.669
 1980	     1	    24	    6.575	     19.041	     31.191	     83.138	      1.666	     23.498	    5.074	    4.918	    7.076	    5.555
 1980	     1	    25	   34.443	     18.327	     29.755	     86.533	      1.717	     18.604	    3.572	    3.952	    5.637	    4.287
 1980	     1	    26	   16.068	     19.411	     29.806	     89.586	      1.324	     19.948	    4.184	    4.052	    6.050	    4.659
 1980	     1	    27	    8.993	     20.245	     29.610	     84.224	      1.242	     21.539	    4.423	    4.396	    6.519	    5.071
 1980	     1	    28	    2.502	     20.969	     30.960	     82.017	      0.976	     22.459	    4.174	    4.672	    6.857	    5.414
 1980	     1	    29	    1.400	     20.587	     31.238	     76.736	      1.106	     24.160	    3.267	    5.069	    7.334	    5.817
 1980	     1	    30	    1.635	     19.806	     31.044	     86.094	      1.257	     17.758	    4.058	    3.762	    5.493	    4.227
 1980	     1	    31	   21.094	     19.265	     29.887	     88.468	      1.327	     15.578	    3.049	    3.380	    4.846	    3.636
 1980	     2	     1	    9.052	     20.303	     31.838	     84.688	      1.135	     19.487	    3.162	    4.067	    6.017	    4.709
 1980	     2	     2	   26.176	     19.988	     30.767	     87.981	      1.235	     13.806	    3.278	    3.002	    4.399	    3.283
 1980	     2	     3	   12.770	     19.370	     29.127	     87.695	      1.828	     15.692	    3.899	    3.398	    4.863	    3.635
 1980	     2	     4	    0.278	     19.366	     30.569	     74.507	      1.423	     23.258	    4.385	    4.974	    6.996	    5.482
 1980	     2	     5	    1.553	     19.999	     31.676	     76.948	      1.017	     23.681	    4.391	    4.931	    7.187	    5.693
 1980	     2	     6	    0.002	     19.082	     32.754	     78.693	      0.829	     27.654	    4.756	    5.598	    8.334	    6.659
 1980	     2	     7	    0.181	     20.114	     33.623	     81.169	      1.319	     24.347	    4.175	    5.116	    7.460	    5.990
 1980	     2	     8	   28.592	     20.586	     31.275	     80.507	      1.286	     19.359	    4.084	    4.257	    5.972	    4.663
 1980	     2	     9	   14.948	     19.245	     29.041	     83.796	      1.622	     17.691	    3.535	    3.777	    5.396	    4.087
 1980	     2	    10	   11.523	     21.128	     30.044	     84.224	      1.475	     16.551	    4.236	    3.420	    5.176	    3.956
 1980	     2	    11	    9.588	     21.042	     30.743	     85.060	      2.242	     20.332	    5.009	    4.364	    6.246	    4.894
 1980	     2	    12	    6.755	     21.117	     28.794	     89.722	      1.419	     12.560	    1.794	    2.822	    4.057	    2.958
 1980	     2	    13	   40.955	     19.935	     27.920	     91.153	      1.546	     10.336	    1.602	    2.222	    3.416	    2.376
 1980	     2	    14	   36.971	     18.890	     24.130	     87.718	      2.247	     12.675	    4.345	    2.882	    3.938	    2.746
 1980	     2	    15	   33.335	     16.803	     24.680	     82.414	      2.267	     15.381	    1.940	    3.243	    4.568	    3.266
 1980	     2	    16	    5.851	     18.042	     26.034	     80.378	      2.757	     17.336	    2.982	    3.726	    5.163	    3.808
 1980	     2	    17	    3.040	     17.505	     26.683	     83.794	      2.083	     15.297	    2.134	    2.909	    4.626	    3.362
 1980	     2	    18	   20.963	     18.526	     28.198	     88.125	      1.433	     19.448	    2.267	    3.728	    5.814	    4.413
 1980	     2	    19	    4.019	     19.557	     30.585	     82.122	      1.145	     25.664	    3.629	    5.002	    7.671	    6.058
 1980	     2	    20	    1.406	     18.405	     30.169	     76.466	      1.029	     27.318	    4.313	    5.242	    8.060	    6.335
 1980	     2	    21	    0.971	     19.997	     32.528	     74.730	      1.018	     26.144	    4.731	    5.416	    7.922	    6.346
 1980	     2	    22	    0.575	     19.885	     30.062	     80.241	      1.666	     20.058	    4.275	    4.385	    6.093	    4.725
 1980	     2	    23	    3.846	     19.994	     30.579	     82.045	      2.015	     19.218	    3.809	    4.271	    5.880	    4.562
 1980	     2	    24	    8.801	     18.402	     27.080	     81.525	      1.059	     12.346	    2.248	    3.241	    3.889	    2.759
 1980	     2	    25	   12.213	     19.056	     27.299	     81.536	      1.230	     12.151	    1.888	    2.936	    3.859	    2.743
 1980	     2	    26	    4.518	     18.884	     27.535	     83.113	      1.327	     11.466	    1.562	    2.676	    3.676	    2.590
 1980	     2	    27	   16.066	     19.593	     26.757	     87.536	      1.642	     10.595	    2.228	    2.503	    3.455	    2.391
 1980	     2	    28	   13.268	     19.696	     28.723	     85.419	      2.071	     16.070	    3.492	    3.424	    4.951	    3.719
 1980	     2	    29	    9.555	     20.334	     29.645	     80.452	      1.576	     19.492	    3.660	    4.167	    5.933	    4.592
 1980	     3	     1	    1.204	     20.983	     30.933	     81.495	      1.695	     24.110	    4.494	    4.935	    7.303	    5.810
 1980	     3	     2	    0.031	     19.405	     32.075	     77.212	      1.610	     26.023	    4.509	    5.291	    7.828	    6.241
 1980	     3	     3	    1.315	     19.013	     32.603	     75.605	      0.898	     23.724	    4.592	    4.641	    7.174	    5.699
 1980	     3	     4	    0.159	     21.794	     32.701	     74.583	      1.168	     22.613	    4.026	    4.469	    6.976	    5.613
 1980	     3	     5	    2.070	     19.653	     31.286	     77.460	      1.178	     22.394	    4.503	    4.679	    6.769	    5.337
 1980	     3	     6	    1.341	     19.328	     30.808	     77.622	      1.326	     24.928	    4.333	    5.028	    7.448	    5.886
 1980	     3	     7	    0.099	     20.351	     33.689	     71.362	      1.357	     25.724	    4.022	    5.375	    7.856	    6.350
 1980	     3	     8	    0.001	     19.273	     33.804	     69.470	      0.740	     25.265	    3.904	    5.073	    7.676	    6.170
 1980	     3	     9	    0.332	     21.983	     32.277	     77.171	      0.811	     24.035	    4.033	    4.964	    7.374	    5.949
 1980	     3	    10	    2.342	     21.616	     31.148	     78.333	      1.128	     24.924	    4.242	    5.267	    7.565	    6.065
 1980	     3	    11	    7.024	     20.207	     34.709	     75.968	      0.766	     22.084	    4.139	    4.836	    6.822	    5.505
 1980	     3	    12	    1.808	     22.161	     31.760	     74.678	      0.953	     20.285	    3.938	    4.246	    6.279	    5.001
 1980	     3	    13	    6.745	     20.342	     32.667	     82.858	      1.333	     17.103	    4.301	    3.797	    5.338	    4.175
 1980	     3	    14	    9.064	     19.810	     28.185	     86.810	      1.188	     16.275	    3.588	    3.481	    4.980	    3.750
 1980	     3	    15	    6.848	     19.515	     29.446	     90.231	      0.779	     12.397	    2.245	    2.431	    3.953	    2.888
 1980	     3	    16	    9.295	     19.248	     28.184	     88.292	      1.263	     13.898	    2.919	    3.000	    4.323	    3.178
 1980	     3	    17	    9.407	     19.607	     28.705	     86.564	      0.898	     19.670	    3.086	    4.131	    5.907	    4.553
 1980	     3	    18	    0.047	     19.665	     32.672	     77.094	      0.966	     21.623	    3.774	    4.472	    6.588	    5.237
 1980	     3	    19	    0.001	     19.570	     33.973	     76.403	      1.014	     23.830	    3.755	    4.768	    7.267	    5.850
 1980	     3	    20	    0.722	     21.518	     31.333	     73.681	      1.176	     22.520	    4.090	    4.755	    6.866	    5.487
 1980	     3	    21	    0.002	     19.463	     34.107	     74.161	      0.955	     23.678	    3.824	    4.770	    7.221	    5.815
 1980	     3	    22	    0.001	     21.869	     32.132	     76.164	      1.260	     23.521	    3.663	    4.850	    7.196	    5.804
 1980	     3	    23	    0.001	     21.646	     32.944	     74.638	      1.474	     22.325	    3.903	    4.896	    6.871	    5.545
 1980	     3	    24	    3.122	     19.423	     29.818	     74.314	      1.427	     24.136	    3.646	    4.961	    7.157	    5.640
 1980	     3	    25	    2.835	     19.302	     30.379	     71.689	      1.362	     23.629	    3.716	    5.120	    7.032	    5.549
 1980	     3	    26	    0.001	     18.584	     33.167	     68.118	      1.074	     19.695	    3.749	    4.387	    6.003	    4.738
 1980	     3	    27	    2.190	     20.359	     31.451	     70.564	      1.224	     21.798	    3.421	    4.788	    6.604	    5.246
 1980	     3	    28	    1.167	     20.831	     32.179	     69.644	      0.817	     22.780	    3.463	    4.713	    6.931	    5.559
 1980	     3	    29	    0.001	     19.132	     34.451	     61.711	      0.984	     19.019	    3.118	    4.140	    5.867	    4.671
 1980	     3	    30	    0.097	     20.980	     32.446	     72.979	      0.769	     17.440	    3.174	    3.898	    5.426	    4.276
 1980	     3	    31	    2.548	     20.550	     30.918	     81.321	      1.349	     18.275	    3.568	    3.847	    5.600	    4.379
 1980	     4	     1	    9.696	     18.937	     31.897	     79.167	      0.990	     19.691	    3.316	    3.917	    5.965	    4.687
 1980	     4	     2	    2.407	     21.295	     30.180	     82.796	      1.115	     14.371	    3.308	    2.663	    4.528	    3.448
