CABra ID  	 420
ANA ID    	 61009000
Longitude 	 -44.195   	 dd
Latitude  	 -21.947   	 dd
Area      	 533.85    	 km²
Elevation 	 1299.23   	 m
 
p_ref, tmin_ref, tmax_ref, rh_ref, wnd_ref and srad_ref product are derived from the Xavier et al. (2016) dataset
et_ref product is derived from the GLEAM dataset
pet_pm was estimated by Penman-Monteith method
pet_pt was estimated by Priestley & Taylor method
pet_hg was estimated by Hargreaves method
 
 Year	 Month	   Day	    p_ref	   tmin_ref	   tmax_ref	     rh_ref	    wnd_ref	   srad_ref	   et_ref	   pet_pm	   pet_pt	   pet_hg
     	      	      	       mm	         °C	         °C	          %	      m s¯¹	     MJ m¯²	       mm	       mm	       mm	       mm
 1980	     1	     1	   24.406	     17.149	     29.290	     90.926	      1.342	     11.094	    2.380	    2.467	    3.642	    2.507
 1980	     1	     2	   20.797	     16.217	     24.685	     76.321	      2.000	     15.945	    2.062	    3.494	    4.809	    3.359
 1980	     1	     3	    1.610	     15.762	     27.646	     73.030	      1.743	     25.079	    3.394	    4.805	    7.340	    5.457
 1980	     1	     4	    0.056	     15.170	     29.122	     74.629	      1.427	     26.026	    3.821	    4.961	    7.643	    5.726
 1980	     1	     5	    0.000	     14.415	     27.423	     73.826	      1.960	     25.803	    4.685	    5.092	    7.453	    5.503
 1980	     1	     6	    0.000	     14.823	     29.408	     71.729	      1.679	     28.867	    4.796	    5.680	    8.432	    6.346
 1980	     1	     7	    0.006	     15.569	     29.925	     75.770	      1.666	     21.921	    3.986	    4.752	    6.562	    4.896
 1980	     1	     8	    3.420	     18.369	     27.009	     82.605	      1.692	     12.334	    3.936	    2.825	    3.980	    2.751
 1980	     1	     9	    7.355	     18.916	     27.395	     81.054	      1.403	     12.831	    2.960	    2.850	    4.136	    2.894
 1980	     1	    10	    6.004	     19.215	     25.429	     91.915	      1.730	     12.034	    3.488	    2.580	    3.899	    2.659
 1980	     1	    11	   11.484	     19.171	     27.619	     90.026	      1.738	     11.564	    3.610	    2.584	    3.803	    2.624
 1980	     1	    12	   20.500	     17.822	     25.819	     89.777	      0.779	     11.595	    3.618	    2.423	    3.748	    2.530
 1980	     1	    13	   25.109	     18.542	     24.183	     90.116	      1.216	     10.641	    2.825	    2.274	    3.493	    2.295
 1980	     1	    14	    7.461	     17.004	     25.336	     83.604	      2.807	     17.704	    3.764	    3.269	    5.319	    3.800
 1980	     1	    15	    2.590	     16.669	     26.588	     83.296	      1.769	     15.654	    4.367	    2.984	    4.800	    3.400
 1980	     1	    16	    3.592	     18.108	     24.536	     93.331	      1.724	     10.705	    2.424	    2.166	    3.502	    2.307
 1980	     1	    17	   12.852	     16.968	     23.963	     94.935	      1.104	     10.528	    2.264	    2.125	    3.415	    2.219
 1980	     1	    18	   39.156	     17.482	     24.834	     93.748	      0.898	     10.706	    3.383	    2.267	    3.489	    2.297
 1980	     1	    19	   13.492	     19.123	     26.290	     86.357	      1.638	     13.706	    4.042	    3.178	    4.355	    3.058
 1980	     1	    20	    3.564	     19.533	     30.375	     81.102	      1.478	     17.680	    5.209	    3.924	    5.550	    4.163
 1980	     1	    21	   12.898	     18.820	     28.763	     87.041	      1.327	     14.206	    4.814	    3.369	    4.528	    3.254
 1980	     1	    22	    8.711	     18.574	     27.667	     90.422	      1.359	     15.299	    3.497	    3.211	    4.795	    3.448
 1980	     1	    23	   10.234	     17.807	     30.764	     82.749	      1.699	     20.225	    4.921	    4.050	    6.210	    4.688
 1980	     1	    24	    3.023	     18.977	     32.241	     79.533	      1.531	     20.586	    4.171	    4.369	    6.405	    4.922
 1980	     1	    25	    4.469	     20.818	     28.567	     88.336	      1.563	     13.212	    3.600	    3.075	    4.310	    3.092
 1980	     1	    26	    6.137	     19.347	     28.339	     88.669	      1.660	     12.431	    3.275	    2.798	    4.050	    2.851
 1980	     1	    27	    4.875	     20.043	     30.158	     86.570	      1.720	     18.917	    2.777	    3.820	    5.909	    4.470
 1980	     1	    28	   18.828	     17.685	     29.012	     85.355	      1.839	     18.226	    3.724	    3.819	    5.594	    4.131
 1980	     1	    29	   28.953	     19.002	     28.444	     82.757	      2.291	     18.264	    4.433	    3.917	    5.638	    4.177
 1980	     1	    30	    0.051	     16.378	     28.041	     79.110	      1.557	     25.784	    4.260	    4.729	    7.578	    5.682
 1980	     1	    31	    0.030	     17.877	     28.844	     83.910	      1.361	     18.837	    5.553	    3.756	    5.763	    4.271
 1980	     2	     1	   20.438	     17.923	     27.665	     89.711	      1.347	     15.097	    3.426	    3.146	    4.714	    3.375
 1980	     2	     2	    8.859	     20.813	     29.299	     90.996	      1.438	     13.188	    3.772	    2.694	    4.310	    3.113
 1980	     2	     3	   14.063	     19.721	     28.192	     83.827	      2.397	     19.250	    4.255	    3.930	    5.928	    4.427
 1980	     2	     4	    6.582	     18.243	     28.327	     77.442	      1.581	     25.137	    4.446	    4.912	    7.505	    5.688
 1980	     2	     5	    0.582	     16.389	     29.104	     72.715	      1.573	     27.718	    4.547	    5.496	    8.171	    6.190
 1980	     2	     6	    0.000	     17.097	     31.506	     76.261	      1.072	     25.225	    4.423	    5.084	    7.618	    5.850
 1980	     2	     7	    0.000	     18.591	     32.267	     71.622	      1.280	     23.335	    5.024	    4.999	    7.174	    5.556
 1980	     2	     8	    4.105	     18.622	     31.268	     77.822	      1.225	     22.498	    4.141	    4.696	    6.897	    5.297
 1980	     2	     9	    0.000	     17.688	     30.807	     76.019	      1.660	     23.084	    4.650	    5.044	    7.005	    5.346
 1980	     2	    10	    0.000	     18.319	     31.868	     74.904	      2.204	     21.095	    3.980	    5.066	    6.504	    4.984
 1980	     2	    11	    0.000	     18.031	     31.532	     74.549	      1.541	     19.990	    4.127	    4.419	    6.167	    4.688
 1980	     2	    12	    0.000	     17.472	     31.066	     69.020	      1.506	     18.491	    3.300	    4.860	    5.710	    4.285
 1980	     2	    13	    0.355	     20.191	     28.903	     86.242	      1.517	     10.825	    2.562	    2.630	    3.631	    2.525
 1980	     2	    14	    3.768	     17.419	     29.468	     81.309	      1.491	     17.514	    4.045	    3.503	    5.391	    3.979
 1980	     2	    15	    1.410	     15.464	     27.054	     81.644	      1.878	     19.238	    4.527	    3.629	    5.703	    4.139
 1980	     2	    16	    3.518	     17.369	     28.930	     87.149	      1.648	     15.330	    2.128	    3.003	    4.778	    3.458
 1980	     2	    17	   18.563	     17.397	     28.468	     85.425	      1.411	     15.198	    2.935	    3.239	    4.732	    3.410
 1980	     2	    18	   11.000	     18.618	     24.862	     92.709	      1.454	     10.547	    4.024	    2.236	    3.466	    2.297
 1980	     2	    19	   29.922	     17.851	     27.628	     86.592	      1.471	     15.879	    4.298	    3.177	    4.909	    3.546
 1980	     2	    20	   13.086	     17.060	     26.834	     88.743	      1.542	     16.289	    3.904	    3.388	    4.970	    3.566
 1980	     2	    21	   10.648	     18.357	     27.622	     83.919	      1.629	     15.962	    4.199	    3.257	    4.948	    3.586
 1980	     2	    22	    8.773	     18.889	     29.301	     87.555	      1.615	     15.432	    3.475	    3.446	    4.859	    3.561
 1980	     2	    23	    2.900	     18.401	     29.497	     85.380	      1.384	     16.154	    3.942	    3.635	    5.045	    3.715
 1980	     2	    24	    5.309	     17.327	     29.850	     78.067	      1.456	     21.360	    3.651	    4.363	    6.455	    4.869
 1980	     2	    25	    3.104	     17.954	     30.534	     79.974	      1.455	     21.159	    4.817	    4.354	    6.449	    4.900
 1980	     2	    26	   10.766	     18.215	     29.460	     79.555	      1.476	     15.412	    4.109	    3.876	    4.831	    3.534
 1980	     2	    27	   23.531	     17.920	     28.833	     81.080	      1.578	     17.124	    4.406	    4.041	    5.273	    3.884
 1980	     2	    28	    9.258	     18.429	     30.458	     76.002	      1.362	     21.656	    5.143	    4.771	    6.602	    5.039
 1980	     2	    29	    0.000	     18.809	     30.851	     72.853	      1.669	     25.679	    4.919	    5.475	    7.782	    6.030
 1980	     3	     1	    0.000	     17.744	     31.255	     75.828	      0.991	     24.010	    4.023	    4.623	    7.270	    5.594
 1980	     3	     2	    0.000	     18.254	     30.486	     74.164	      1.278	     21.794	    3.751	    4.266	    6.632	    5.062
 1980	     3	     3	    0.014	     17.495	     30.239	     76.827	      1.273	     20.079	    3.894	    4.146	    6.109	    4.608
 1980	     3	     4	    0.000	     17.660	     29.881	     72.694	      1.388	     23.172	    3.502	    4.577	    6.967	    5.306
 1980	     3	     5	    0.000	     16.959	     30.125	     73.327	      1.156	     22.860	    3.609	    4.466	    6.856	    5.205
 1980	     3	     6	    0.216	     17.241	     30.677	     71.847	      1.401	     23.922	    3.697	    4.821	    7.191	    5.502
 1980	     3	     7	    0.000	     17.074	     31.064	     68.936	      1.274	     24.563	    3.619	    4.949	    7.381	    5.665
 1980	     3	     8	    0.000	     17.160	     31.953	     72.505	      1.657	     23.647	    3.617	    5.075	    7.161	    5.517
 1980	     3	     9	    0.132	     17.997	     32.375	     75.396	      1.486	     22.525	    4.759	    4.681	    6.891	    5.333
 1980	     3	    10	    8.773	     18.216	     31.724	     76.383	      1.737	     20.015	    4.436	    4.601	    6.159	    4.715
 1980	     3	    11	   12.578	     19.288	     29.608	     83.743	      1.273	     14.597	    4.899	    3.135	    4.628	    3.397
 1980	     3	    12	   20.484	     18.472	     29.662	     84.847	      1.448	     16.649	    3.945	    3.334	    5.166	    3.839
 1980	     3	    13	   17.188	     19.533	     30.012	     86.406	      1.518	     15.332	    3.162	    3.216	    4.844	    3.595
 1980	     3	    14	   13.563	     19.313	     28.548	     88.337	      1.355	     12.278	    4.690	    2.644	    3.974	    2.822
 1980	     3	    15	   22.891	     19.023	     28.178	     87.892	      1.491	     14.476	    2.979	    2.955	    4.553	    3.301
 1980	     3	    16	   21.406	     19.555	     29.781	     83.214	      1.700	     16.315	    3.897	    3.813	    5.107	    3.816
 1980	     3	    17	    1.800	     19.281	     29.792	     78.657	      1.298	     20.216	    3.231	    4.030	    6.183	    4.714
 1980	     3	    18	    0.638	     19.333	     30.192	     79.884	      1.302	     18.590	    3.830	    3.923	    5.741	    4.358
 1980	     3	    19	    1.522	     18.739	     29.434	     77.041	      1.483	     20.245	    3.291	    4.167	    6.153	    4.671
 1980	     3	    20	    0.014	     17.168	     29.613	     72.234	      0.932	     22.309	    3.490	    4.263	    6.667	    5.061
 1980	     3	    21	    0.028	     15.757	     31.094	     69.315	      0.847	     22.381	    3.249	    4.246	    6.684	    5.082
 1980	     3	    22	    0.000	     16.407	     31.894	     69.779	      0.938	     22.165	    3.317	    4.476	    6.683	    5.121
 1980	     3	    23	    0.000	     17.140	     31.798	     69.513	      0.951	     22.592	    3.329	    4.468	    6.830	    5.260
 1980	     3	    24	    0.000	     17.122	     32.014	     64.356	      1.068	     20.489	    3.016	    4.374	    6.239	    4.781
 1980	     3	    25	    0.000	     17.605	     32.092	     69.505	      1.061	     21.384	    3.284	    4.274	    6.513	    5.023
 1980	     3	    26	    0.014	     16.629	     31.919	     69.136	      1.103	     22.221	    3.306	    4.377	    6.702	    5.150
 1980	     3	    27	    0.014	     16.392	     32.013	     67.612	      1.044	     21.809	    2.956	    4.224	    6.577	    5.046
 1980	     3	    28	    0.000	     16.501	     32.543	     69.086	      0.717	     19.634	    3.052	    3.931	    5.985	    4.577
 1980	     3	    29	    0.000	     16.481	     32.120	     70.478	      1.340	     20.087	    2.848	    4.217	    6.096	    4.658
 1980	     3	    30	    0.726	     17.362	     30.315	     81.622	      0.920	     16.015	    3.356	    2.959	    4.942	    3.673
 1980	     3	    31	   20.125	     17.493	     26.031	     88.945	      2.015	     14.125	    3.226	    2.832	    4.336	    3.078
 1980	     4	     1	    9.938	     16.864	     25.876	     81.407	      1.863	     15.694	    2.601	    3.124	    4.717	    3.386
 1980	     4	     2	    0.417	     15.034	     26.424	     87.397	      1.262	     11.879	    3.204	    2.382	    3.683	    2.521
 1980	     4	     3	    7.133	     16.916	     24.522	     93.848	      0.585	      8.264	    2.596	    1.720	    2.785	    1.753
 1980	     4	     4	   36.344	     19.397	     24.025	     94.345	      1.282	      8.114	    5.263	    1.772	    2.799	    1.766
 1980	     4	     5	   30.688	     18.370	     22.907	     94.702	      1.077	      8.139	    3.718	    1.581	    2.769	    1.723
 1980	     4	     6	   15.445	     17.617	     25.392	     92.032	      1.529	      8.929	    2.371	    1.794	    2.976	    1.933
 1980	     4	     7	    3.787	     17.370	     25.389	     88.069	      1.758	     10.368	    2.923	    2.366	    3.336	    2.237
 1980	     4	     8	    2.748	     18.368	     26.761	     89.088	      1.247	     10.507	    3.249	    2.221	    3.415	    2.336
 1980	     4	     9	    1.357	     19.019	     28.863	     86.041	      0.787	     14.489	    2.853	    2.902	    4.526	    3.331
 1980	     4	    10	    0.138	     17.711	     26.986	     90.767	      1.135	      9.791	    3.423	    2.036	    3.212	    2.165
