CABra ID  	 459
ANA ID    	 61902000
Longitude 	 -47.474   	 dd
Latitude  	 -21.846   	 dd
Area      	 10205.99  	 km²
Elevation 	 812.08    	 m
 
p_ref, tmin_ref, tmax_ref, rh_ref, wnd_ref and srad_ref product are derived from the Xavier et al. (2016) dataset
et_ref product is derived from the GLEAM dataset
pet_pm was estimated by Penman-Monteith method
pet_pt was estimated by Priestley & Taylor method
pet_hg was estimated by Hargreaves method
 
 Year	 Month	   Day	    p_ref	   tmin_ref	   tmax_ref	     rh_ref	    wnd_ref	   srad_ref	   et_ref	   pet_pm	   pet_pt	   pet_hg
     	      	      	       mm	         °C	         °C	          %	      m s¯¹	     MJ m¯²	       mm	       mm	       mm	       mm
 1980	     1	     1	   18.231	     17.051	     23.829	     86.182	      1.604	     15.067	    2.271	    3.014	    4.517	    3.180
 1980	     1	     2	    0.620	     13.490	     24.241	     68.899	      1.692	     23.338	    4.602	    4.655	    6.470	    4.713
 1980	     1	     3	    0.001	     11.858	     25.675	     68.987	      1.866	     27.808	    4.217	    5.121	    7.602	    5.600
 1980	     1	     4	    0.000	     12.429	     27.916	     62.058	      1.799	     26.642	    4.133	    5.416	    7.471	    5.577
 1980	     1	     5	    0.000	     16.042	     28.475	     65.886	      1.743	     24.233	    4.307	    5.022	    7.052	    5.348
 1980	     1	     6	    0.053	     15.852	     28.194	     62.508	      2.531	     25.828	    4.918	    5.407	    7.462	    5.669
 1980	     1	     7	    0.477	     16.358	     26.326	     82.992	      2.712	     14.891	    4.375	    3.226	    4.513	    3.207
 1980	     1	     8	   15.508	     17.140	     25.633	     82.521	      1.775	     15.881	    2.755	    3.466	    4.778	    3.430
 1980	     1	     9	    4.518	     18.014	     24.631	     88.576	      1.568	     11.662	    2.950	    2.550	    3.693	    2.514
 1980	     1	    10	   10.396	     18.423	     25.095	     86.318	      2.430	     16.404	    3.377	    3.483	    4.952	    3.586
 1980	     1	    11	   24.187	     17.923	     26.148	     86.429	      1.617	     17.036	    3.290	    3.587	    5.126	    3.744
 1980	     1	    12	   18.680	     17.468	     25.059	     84.894	      2.134	     15.504	    3.374	    3.263	    4.676	    3.338
 1980	     1	    13	    5.782	     17.246	     24.449	     84.817	      2.097	     16.635	    3.956	    3.398	    4.946	    3.552
 1980	     1	    14	    4.103	     16.128	     25.261	     75.893	      3.461	     20.751	    3.729	    4.425	    5.991	    4.409
 1980	     1	    15	    1.678	     14.949	     26.358	     73.096	      2.939	     22.051	    3.032	    4.827	    6.317	    4.675
 1980	     1	    16	    2.517	     16.704	     25.750	     79.342	      2.636	     14.807	    3.369	    3.515	    4.486	    3.187
 1980	     1	    17	    5.147	     18.158	     24.771	     88.503	      1.320	     14.448	    1.838	    3.070	    4.418	    3.127
 1980	     1	    18	   32.995	     18.253	     22.404	     93.115	      2.335	     10.907	    2.308	    2.182	    3.466	    2.291
 1980	     1	    19	   14.396	     17.854	     23.363	     86.372	      1.939	     14.892	    3.816	    3.147	    4.485	    3.155
 1980	     1	    20	    2.104	     18.491	     27.256	     82.290	      1.763	     21.808	    5.006	    4.504	    6.458	    4.886
 1980	     1	    21	   15.571	     18.597	     27.537	     87.576	      1.177	     14.065	    3.102	    3.102	    4.394	    3.166
 1980	     1	    22	   14.810	     17.677	     25.914	     81.686	      1.544	     16.400	    3.076	    3.618	    4.937	    3.577
 1980	     1	    23	    5.578	     17.164	     27.209	     77.746	      1.710	     23.067	    5.154	    4.905	    6.730	    5.079
 1980	     1	    24	    3.501	     18.689	     27.989	     80.540	      1.567	     18.088	    3.954	    3.945	    5.487	    4.100
