CABra ID  	 46
ANA ID    	 18280000
Longitude 	 -54.659   	 dd
Latitude  	 1.218     	 dd
Area      	 7036.10   	 km²
Elevation 	 384.26    	 m
 
p_ref, tmin_ref, tmax_ref, rh_ref, wnd_ref and srad_ref product are derived from the Xavier et al. (2016) dataset
et_ref product is derived from the GLEAM dataset
pet_pm was estimated by Penman-Monteith method
pet_pt was estimated by Priestley & Taylor method
pet_hg was estimated by Hargreaves method
 
 Year	 Month	   Day	    p_ref	   tmin_ref	   tmax_ref	     rh_ref	    wnd_ref	   srad_ref	   et_ref	   pet_pm	   pet_pt	   pet_hg
     	      	      	       mm	         °C	         °C	          %	      m s¯¹	     MJ m¯²	       mm	       mm	       mm	       mm
 1980	     1	     1	    9.507	     22.888	     31.784	     84.791	      1.796	     20.734	    3.468	    4.621	    6.374	    5.155
 1980	     1	     2	    6.773	     22.674	     31.979	     88.274	      1.617	     20.736	    3.887	    3.363	    6.375	    5.154
 1980	     1	     3	    4.385	     23.004	     30.780	     90.145	      1.748	     15.491	    3.836	    3.430	    4.880	    3.813
 1980	     1	     4	    3.692	     23.333	     30.973	     84.408	      2.052	     18.046	    2.526	    4.150	    5.607	    4.468
 1980	     1	     5	    6.632	     23.139	     30.444	     86.269	      2.715	     14.885	    2.257	    3.242	    4.710	    3.656
 1980	     1	     6	    7.020	     22.673	     31.440	     82.359	      1.556	     18.682	    3.275	    4.046	    5.777	    4.616
 1980	     1	     7	    8.951	     22.993	     29.870	     90.338	      2.013	     12.384	    3.772	    2.541	    4.010	    3.017
 1980	     1	     8	    9.450	     22.462	     30.898	     86.944	      1.202	     15.589	    2.948	    3.506	    4.894	    3.819
 1980	     1	     9	    5.197	     23.129	     29.838	     84.732	      1.453	     11.631	    2.480	    2.769	    3.809	    2.837
 1980	     1	    10	    7.508	     22.903	     28.340	     91.133	      1.230	      9.723	    2.649	    2.501	    3.275	    2.325
 1980	     1	    11	    6.604	     22.318	     29.630	     91.997	      1.014	     10.856	    2.704	    2.510	    3.577	    2.617
 1980	     1	    12	    7.229	     22.421	     27.822	     96.611	      0.938	     10.203	    2.440	    2.076	    3.387	    2.412
 1980	     1	    13	    7.918	     22.717	     29.007	     89.637	      0.808	     12.039	    1.946	    2.201	    3.901	    2.896
 1980	     1	    14	   19.135	     22.109	     28.475	     85.990	      1.549	     10.845	    2.786	    2.308	    3.560	    2.575
 1980	     1	    15	    3.918	     22.270	     30.078	     82.347	      1.294	     15.914	    2.653	    3.224	    4.964	    3.856
 1980	     1	    16	    7.116	     21.764	     30.807	     86.092	      1.418	     21.187	    2.469	    4.262	    6.430	    5.145
 1980	     1	    17	    0.872	     22.885	     31.636	     80.843	      1.794	     19.900	    2.202	    4.542	    6.138	    4.939
 1980	     1	    18	    3.046	     22.484	     30.790	     84.306	      1.545	     19.432	    3.332	    4.364	    5.966	    4.756
 1980	     1	    19	    4.187	     22.734	     28.728	     89.029	      1.201	     10.598	    4.145	    2.244	    3.512	    2.542
 1980	     1	    20	    6.000	     21.747	     30.907	     85.182	      1.611	     18.511	    3.617	    4.326	    5.686	    4.500
 1980	     1	    21	    5.882	     22.742	     30.189	     86.972	      1.560	     16.649	    6.574	    4.270	    5.185	    4.059
 1980	     1	    22	   12.900	     22.241	     30.340	     90.080	      1.371	     17.618	   12.003	    3.477	    5.440	    4.278
 1980	     1	    23	    2.424	     23.040	     30.141	     86.875	      1.709	     16.009	    5.317	    3.145	    5.018	    3.914
 1980	     1	    24	    5.156	     22.768	     31.443	     85.666	      2.067	     19.373	    4.319	    3.871	    5.982	    4.792
 1980	     1	    25	    1.247	     22.767	     31.869	     81.897	      2.365	     23.984	    6.008	    5.365	    7.314	    5.960
 1980	     1	    26	    5.070	     22.948	     31.543	     83.910	      1.985	     20.983	    5.766	    4.676	    6.449	    5.206
 1980	     1	    27	    2.437	     23.074	     31.058	     86.768	      1.739	     20.040	    4.252	    4.257	    6.171	    4.952
 1980	     1	    28	    5.575	     23.232	     30.749	     85.308	      1.736	     19.267	    3.258	    3.811	    5.950	    4.753
 1980	     1	    29	   14.765	     22.486	     27.429	     90.776	      1.481	      9.909	    2.336	    1.988	    3.314	    2.334
 1980	     1	    30	   14.620	     22.669	     29.645	     91.584	      1.073	     12.049	    2.556	    2.308	    3.916	    2.917
 1980	     1	    31	    9.701	     23.176	     30.443	     88.866	      1.091	     15.425	    4.839	    3.492	    4.871	    3.790
 1980	     2	     1	   14.882	     22.978	     30.656	     85.916	      1.416	     13.744	    5.008	    3.092	    4.404	    3.377
 1980	     2	     2	   17.790	     22.974	     28.735	     85.403	      1.467	     10.920	    4.888	    3.544	    3.610	    2.627
 1980	     2	     3	   10.348	     22.505	     29.755	     90.730	      1.459	     12.174	    3.751	    2.464	    3.951	    2.948
 1980	     2	     4	    3.353	     22.921	     30.411	     82.961	      1.320	     10.803	    3.834	    2.509	    3.592	    2.646
 1980	     2	     5	    0.462	     22.978	     29.993	     88.020	      1.677	     12.292	    3.187	    3.068	    3.997	    2.998
 1980	     2	     6	    2.652	     23.403	     30.823	     83.895	      1.955	     18.108	    2.312	    3.752	    5.638	    4.480
 1980	     2	     7	    1.391	     22.597	     31.047	     88.115	      1.920	     22.874	    2.435	    4.312	    6.961	    5.622
 1980	     2	     8	    1.164	     23.554	     31.091	     78.466	      1.714	     19.093	    3.377	    4.650	    5.929	    4.746
 1980	     2	     9	    2.787	     22.969	     29.343	     80.335	      1.470	     11.173	    2.886	    2.935	    3.689	    2.708
 1980	     2	    10	   14.621	     22.001	     29.038	     93.224	      1.505	     11.506	    1.777	    2.514	    3.749	    2.746
 1980	     2	    11	    6.380	     22.421	     30.807	     85.744	      1.709	     17.271	    4.361	    4.132	    5.372	    4.225
 1980	     2	    12	    2.174	     23.122	     30.535	     88.944	      1.586	     16.925	    3.926	    3.332	    5.293	    4.161
 1980	     2	    13	    7.364	     22.871	     30.638	     82.196	      1.789	     16.096	    3.343	    4.034	    5.058	    3.951
 1980	     2	    14	    2.911	     23.142	     29.173	     83.768	      1.417	     10.322	    2.794	    2.554	    3.462	    2.501
 1980	     2	    15	   10.428	     22.395	     29.665	     84.692	      1.306	     14.242	    1.865	    3.387	    4.514	    3.440
 1980	     2	    16	    2.657	     22.750	     29.663	     88.645	      1.326	     15.158	    2.882	    3.150	    4.775	    3.674
 1980	     2	    17	    7.629	     22.924	     30.902	     86.160	      1.499	     20.996	    2.544	    4.478	    6.441	    5.171
 1980	     2	    18	    1.203	     22.761	     31.021	     81.684	      1.666	     19.560	    3.014	    4.348	    6.034	    4.815
 1980	     2	    19	    0.377	     22.018	     31.161	     85.282	      1.810	     20.744	    2.038	    4.631	    6.344	    5.072
 1980	     2	    20	    0.893	     22.490	     30.685	     84.907	      1.544	     13.519	    1.964	    3.361	    4.336	    3.305
 1980	     2	    21	    0.673	     23.089	     30.863	     84.364	      1.399	     16.349	    2.461	    3.775	    5.144	    4.034
 1980	     2	    22	    1.595	     23.115	     30.655	     86.295	      1.290	     12.158	    2.822	    3.069	    3.977	    2.992
 1980	     2	    23	    0.423	     22.908	     31.207	     82.670	      1.585	     21.851	    3.523	    4.599	    6.696	    5.399
 1980	     2	    24	    0.326	     23.032	     31.424	     84.027	      1.759	     21.066	    3.155	    4.333	    6.486	    5.225
 1980	     2	    25	    0.000	     22.907	     31.092	     88.749	      1.393	     16.287	    2.958	    3.119	    5.126	    4.019
 1980	     2	    26	    0.629	     23.126	     30.651	     82.864	      1.654	     15.622	    1.884	    3.565	    4.939	    3.846
 1980	     2	    27	    1.452	     22.797	     30.671	     85.328	      1.835	     12.061	    3.026	    3.368	    3.944	    2.959
 1980	     2	    28	    2.138	     22.536	     30.183	     85.394	      1.460	     12.919	    2.772	    3.219	    4.167	    3.142
 1980	     2	    29	    0.651	     22.596	     30.086	     81.670	      1.308	     12.135	    1.825	    2.904	    3.955	    2.952
 1980	     3	     1	    3.464	     22.458	     30.363	     85.787	      1.641	     13.515	    3.093	    3.482	    4.334	    3.294
 1980	     3	     2	    6.784	     22.068	     30.280	     82.506	      0.976	     17.322	    2.021	    3.630	    5.368	    4.196
 1980	     3	     3	   16.309	     22.109	     28.168	     85.545	      1.750	     12.354	    1.970	    3.438	    3.974	    2.922
 1980	     3	     4	   11.809	     22.785	     30.001	     90.409	      1.908	     13.865	    2.411	    2.688	    4.432	    3.375
 1980	     3	     5	    6.611	     22.571	     29.756	     87.147	      1.991	     14.263	    2.080	    3.471	    4.531	    3.454
 1980	     3	     6	    6.667	     21.825	     29.766	     86.950	      1.599	     14.931	    2.867	    3.376	    4.694	    3.588
 1980	     3	     7	    4.783	     22.409	     30.168	     83.557	      1.674	     18.853	    2.668	    3.912	    5.804	    4.579
 1980	     3	     8	   10.192	     22.327	     27.981	     90.010	      0.821	      9.712	    4.248	    2.418	    3.272	    2.298
 1980	     3	     9	    7.573	     22.491	     27.852	     93.713	      1.199	     10.943	    8.745	    2.202	    3.604	    2.590
 1980	     3	    10	    7.327	     22.403	     30.438	     86.159	      1.163	     20.395	    4.726	    4.354	    6.242	    4.967
 1980	     3	    11	    8.686	     22.634	     30.681	     83.800	      1.542	     20.414	    4.596	    4.240	    6.265	    4.998
