CABra ID  	 548
ANA ID    	 73765000
Longitude 	 -52.750   	 dd
Latitude  	 -26.761   	 dd
Area      	 256.57    	 km²
Elevation 	 611.88    	 m
 
p_ref, tmin_ref, tmax_ref, rh_ref, wnd_ref and srad_ref product are derived from the Xavier et al. (2016) dataset
et_ref product is derived from the GLEAM dataset
pet_pm was estimated by Penman-Monteith method
pet_pt was estimated by Priestley & Taylor method
pet_hg was estimated by Hargreaves method
 
 Year	 Month	   Day	    p_ref	   tmin_ref	   tmax_ref	     rh_ref	    wnd_ref	   srad_ref	   et_ref	   pet_pm	   pet_pt	   pet_hg
     	      	      	       mm	         °C	         °C	          %	      m s¯¹	     MJ m¯²	       mm	       mm	       mm	       mm
 1980	     1	     1	    0.000	     11.442	     24.574	     65.322	      1.502	     27.915	    4.474	    4.773	    7.478	    5.506
 1980	     1	     2	    1.775	     10.485	     27.487	     56.601	      1.083	     30.294	    4.533	    5.495	    8.223	    6.138
 1980	     1	     3	    0.000	     11.999	     30.703	     53.778	      1.326	     29.951	    4.184	    5.924	    8.451	    6.459
 1980	     1	     4	    0.000	     17.949	     29.413	     62.699	      1.793	     26.118	    3.958	    5.795	    7.672	    5.967
 1980	     1	     5	    0.037	     17.577	     29.913	     64.695	      2.653	     26.780	    4.300	    5.788	    7.861	    6.128
 1980	     1	     6	    0.000	     18.329	     31.153	     74.174	      2.970	     23.082	    3.720	    5.105	    6.923	    5.408
 1980	     1	     7	   11.539	     18.286	     28.714	     74.299	      1.693	     24.947	    3.059	    5.139	    7.332	    5.675
 1980	     1	     8	    1.882	     17.804	     25.829	     84.200	      1.705	     18.064	    2.679	    3.706	    5.347	    3.942
 1980	     1	     9	   11.906	     17.639	     27.846	     79.259	      1.701	     20.691	    3.917	    4.159	    6.107	    4.621
 1980	     1	    10	    1.881	     16.719	     28.379	     70.079	      2.058	     25.828	    4.041	    5.463	    7.472	    5.740
 1980	     1	    11	    0.000	     16.188	     29.888	     63.325	      1.911	     26.895	    4.723	    5.841	    7.814	    6.050
 1980	     1	    12	    0.000	     15.788	     29.855	     60.666	      1.950	     29.332	    4.660	    6.090	    8.464	    6.563
 1980	     1	    13	    0.000	     16.386	     30.026	     56.357	      3.231	     28.510	    4.856	    6.333	    8.281	    6.439
 1980	     1	    14	    0.079	     16.887	     29.381	     61.565	      3.308	     29.066	    4.363	    6.110	    8.428	    6.553
 1980	     1	    15	    0.000	     16.798	     29.673	     66.683	      3.585	     25.583	    4.325	    5.763	    7.473	    5.782
 1980	     1	    16	    0.277	     16.176	     28.381	     72.457	      2.930	     22.748	    4.254	    5.259	    6.609	    5.022
 1980	     1	    17	    0.000	     19.041	     31.621	     74.261	      2.781	     21.883	    5.152	    5.019	    6.633	    5.199
 1980	     1	    18	    4.379	     18.084	     30.761	     68.025	      1.971	     26.422	    5.250	    5.682	    7.827	    6.145
 1980	     1	    19	    0.562	     18.727	     32.146	     80.592	      1.856	     21.845	    4.556	    4.699	    6.627	    5.202
 1980	     1	    20	    1.705	     17.978	     31.418	     56.802	      1.915	     28.336	    4.353	    6.144	    8.397	    6.633
 1980	     1	    21	    0.000	     17.019	     29.479	     64.789	      1.644	     24.273	    4.784	    4.849	    7.112	    5.488
 1980	     1	    22	    0.000	     16.634	     26.894	     66.505	      2.071	     23.721	    4.459	    4.941	    6.821	    5.169
 1980	     1	    23	    1.211	     17.672	     29.452	     82.883	      1.624	     15.086	    3.857	    3.326	    4.648	    3.437
 1980	     1	    24	   40.594	     16.448	     25.700	     83.948	      2.674	     15.326	    3.100	    3.263	    4.574	    3.282
 1980	     1	    25	   58.500	     15.635	     28.880	     65.446	      2.428	     26.991	    3.955	    5.269	    7.748	    5.955
 1980	     1	    26	    0.000	     15.713	     30.691	     69.205	      1.352	     25.087	    3.598	    5.677	    7.324	    5.666
 1980	     1	    27	    0.000	     17.805	     31.261	     64.135	      1.141	     28.257	    3.554	    5.742	    8.353	    6.589
 1980	     1	    28	    0.000	     19.925	     31.729	     64.582	      2.228	     25.322	    4.516	    5.821	    7.648	    6.085
 1980	     1	    29	    0.323	     17.892	     31.525	     66.431	      2.105	     26.759	    4.541	    5.739	    7.945	    6.265
 1980	     1	    30	    1.539	     17.434	     28.290	     74.500	      2.096	     20.660	    4.178	    4.464	    6.096	    4.627
 1980	     1	    31	    8.438	     19.581	     24.352	     91.496	      1.798	     14.682	    2.028	    2.891	    4.483	    3.216
 1980	     2	     1	   16.344	     18.216	     27.945	     75.226	      2.173	     22.770	    4.763	    4.825	    6.686	    5.127
 1980	     2	     2	    0.000	     16.636	     30.470	     69.834	      2.801	     23.041	    4.302	    4.919	    6.792	    5.248
 1980	     2	     3	    0.000	     19.034	     30.959	     63.652	      1.761	     28.571	    4.385	    5.887	    8.491	    6.735
 1980	     2	     4	    0.000	     18.961	     31.616	     60.389	      1.561	     26.263	    4.677	    5.602	    7.860	    6.233
 1980	     2	     5	    0.000	     19.640	     29.942	     66.976	      2.429	     20.212	    4.135	    4.766	    6.124	    4.742
 1980	     2	     6	    0.000	     20.440	     30.264	     69.024	      1.728	     26.537	    2.634	    5.405	    7.946	    6.307
 1980	     2	     7	    0.119	     19.803	     30.576	     60.780	      2.073	     27.570	    4.514	    5.939	    8.222	    6.528
 1980	     2	     8	    0.000	     16.999	     31.935	     53.069	      1.992	     28.452	    4.713	    6.307	    8.393	    6.624
 1980	     2	     9	    2.721	     19.240	     32.985	     60.659	      2.774	     27.856	    4.448	    6.160	    8.397	    6.737
 1980	     2	    10	    0.813	     19.866	     29.280	     85.742	      2.921	     14.992	    3.352	    3.359	    4.681	    3.499
 1980	     2	    11	   20.422	     18.733	     27.068	     79.101	      1.321	     15.723	    2.615	    3.342	    4.785	    3.525
 1980	     2	    12	    0.007	     18.375	     31.285	     74.323	      1.565	     23.966	    3.407	    4.999	    7.159	    5.627
 1980	     2	    13	    0.000	     19.573	     32.750	     64.448	      1.880	     26.571	    4.284	    5.945	    8.026	    6.434
 1980	     2	    14	    0.000	     20.237	     34.535	     61.049	      2.105	     26.314	    4.693	    6.029	    8.064	    6.549
 1980	     2	    15	    0.000	     20.688	     33.555	     63.789	      1.668	     25.116	    4.540	    5.561	    7.689	    6.214
 1980	     2	    16	    1.295	     18.952	     31.420	     72.380	      2.304	     23.219	    5.274	    5.201	    6.977	    5.497
 1980	     2	    17	    6.039	     19.487	     26.845	     89.286	      1.812	     14.480	    4.038	    2.978	    4.472	    3.267
 1980	     2	    18	   15.219	     17.250	     24.504	     71.922	      2.843	     17.753	    3.333	    3.746	    5.169	    3.782
 1980	     2	    19	    0.383	     13.348	     28.683	     63.525	      2.157	     27.344	    4.060	    5.224	    7.677	    5.846
 1980	     2	    20	    0.000	     14.224	     30.184	     60.923	      1.870	     26.394	    3.556	    5.253	    7.555	    5.816
 1980	     2	    21	    0.961	     16.334	     30.385	     60.208	      1.841	     26.799	    3.920	    5.411	    7.794	    6.075
 1980	     2	    22	    1.146	     18.064	     30.607	     67.800	      1.603	     18.910	    4.663	    4.333	    5.707	    4.389
 1980	     2	    23	    6.379	     19.152	     30.347	     79.504	      2.179	     18.421	    4.637	    3.999	    5.605	    4.317
 1980	     2	    24	    5.270	     18.588	     31.808	     76.558	      2.497	     18.817	    3.086	    4.322	    5.735	    4.456
 1980	     2	    25	    4.664	     19.625	     28.662	     82.274	      2.214	     16.542	    2.747	    3.431	    5.062	    3.822
 1980	     2	    26	    7.578	     19.890	     30.020	     75.602	      1.924	     19.423	    3.008	    4.344	    5.895	    4.574
 1980	     2	    27	    3.863	     20.838	     28.398	     80.083	      1.781	     17.080	    3.080	    3.934	    5.241	    3.990
 1980	     2	    28	   16.516	     19.785	     31.054	     74.480	      1.326	     18.440	    3.688	    4.035	    5.648	    4.390
 1980	     2	    29	   13.602	     20.960	     26.049	     86.834	      1.708	     14.104	    3.941	    2.831	    4.389	    3.209
 1980	     3	     1	   16.172	     20.683	     27.436	     87.627	      1.698	     13.115	    3.317	    2.811	    4.146	    3.024
 1980	     3	     2	   18.141	     21.427	     30.369	     85.179	      1.338	     18.134	    4.466	    3.644	    5.599	    4.365
 1980	     3	     3	    3.711	     18.664	     31.090	     83.426	      2.181	     17.078	    4.782	    3.784	    5.227	    4.014
 1980	     3	     4	   19.703	     20.102	     31.084	     74.925	      1.460	     18.707	    4.725	    3.943	    5.728	    4.471
 1980	     3	     5	    4.246	     18.787	     32.550	     76.928	      1.364	     20.814	    4.806	    4.432	    6.312	    4.983
 1980	     3	     6	    2.090	     18.526	     30.716	     77.629	      1.662	     19.978	    4.686	    4.246	    6.004	    4.668
 1980	     3	     7	    6.219	     19.098	     31.149	     78.118	      1.593	     21.137	    4.606	    4.393	    6.362	    4.997
