CABra ID  	 615
ANA ID    	 87450100
Longitude 	 -51.197   	 dd
Latitude  	 -30.048   	 dd
Area      	 57.89     	 km²
Elevation 	 89.80     	 m
 
p_ref, tmin_ref, tmax_ref, rh_ref, wnd_ref and srad_ref product are derived from the Xavier et al. (2016) dataset
et_ref product is derived from the GLEAM dataset
pet_pm was estimated by Penman-Monteith method
pet_pt was estimated by Priestley & Taylor method
pet_hg was estimated by Hargreaves method
 
 Year	 Month	   Day	    p_ref	   tmin_ref	   tmax_ref	     rh_ref	    wnd_ref	   srad_ref	   et_ref	   pet_pm	   pet_pt	   pet_hg
     	      	      	       mm	         °C	         °C	          %	      m s¯¹	     MJ m¯²	       mm	       mm	       mm	       mm
 1980	     1	     1	    1.128	     14.681	     22.900	     68.435	      2.105	     26.490	    2.906	    4.631	    7.076	    5.339
 1980	     1	     2	    0.000	     13.686	     24.055	     68.864	      1.781	     28.931	    4.527	    4.981	    7.698	    5.844
 1980	     1	     3	    0.000	     14.385	     28.308	     63.678	      1.419	     29.491	    4.784	    5.486	    8.174	    6.359
 1980	     1	     4	    0.000	     15.898	     27.943	     59.268	      2.126	     29.375	    4.987	    6.038	    8.218	    6.427
 1980	     1	     5	    0.000	     19.304	     28.882	     69.934	      1.898	     25.403	    4.809	    5.347	    7.395	    5.862
 1980	     1	     6	    0.000	     20.836	     33.096	     67.801	      2.588	     21.442	    3.858	    4.936	    6.538	    5.287
 1980	     1	     7	    4.848	     20.756	     30.573	     71.455	      2.160	     22.752	    4.384	    5.055	    6.810	    5.447
 1980	     1	     8	    0.790	     20.347	     29.428	     83.371	      1.552	     13.811	    3.784	    3.247	    4.324	    3.247
 1980	     1	     9	   25.547	     19.517	     22.195	     91.085	      2.221	     11.470	    4.249	    2.320	    3.555	    2.442
 1980	     1	    10	   15.852	     19.660	     26.884	     77.266	      2.324	     20.360	    4.013	    4.317	    5.969	    4.606
 1980	     1	    11	    0.277	     17.621	     31.149	     69.954	      1.641	     26.850	    5.138	    5.555	    7.815	    6.239
 1980	     1	    12	    0.000	     20.518	     26.973	     77.041	      2.213	     24.134	    4.560	    4.729	    7.020	    5.523
 1980	     1	    13	    0.000	     19.868	     28.552	     70.029	      3.382	     29.811	    5.131	    6.043	    8.622	    6.898
 1980	     1	    14	    0.000	     19.674	     27.267	     67.315	      3.537	     29.046	    4.616	    6.014	    8.321	    6.603
 1980	     1	    15	    0.000	     18.864	     28.343	     70.471	      3.039	     28.401	    4.348	    5.685	    8.158	    6.477
 1980	     1	    16	    1.545	     20.511	     27.480	     81.129	      2.622	     20.270	    4.481	    4.244	    6.002	    4.666
 1980	     1	    17	    0.071	     21.062	     30.123	     76.878	      2.588	     22.672	    4.822	    4.843	    6.780	    5.419
 1980	     1	    18	    0.000	     22.248	     29.183	     79.658	      0.724	     16.481	    5.068	    3.600	    5.100	    3.950
 1980	     1	    19	    2.863	     21.236	     32.019	     72.975	      1.513	     24.922	    5.188	    5.175	    7.497	    6.099
 1980	     1	    20	    2.689	     16.817	     26.533	     65.428	      2.344	     29.382	    4.535	    5.859	    8.183	    6.389
 1980	     1	    21	    0.000	     18.882	     30.171	     61.580	      1.602	     29.322	    4.643	    5.838	    8.518	    6.836
 1980	     1	    22	    0.000	     19.042	     33.855	     53.923	      2.049	     29.161	    4.803	    6.672	    8.689	    7.107
 1980	     1	    23	    0.000	     22.096	     35.997	     56.590	      2.247	     22.007	    4.379	    6.128	    6.837	    5.679
 1980	     1	    24	    8.484	     14.278	     21.589	     87.893	      2.428	     10.829	    1.409	    2.215	    3.212	    2.131
 1980	     1	    25	    8.086	     12.797	     25.331	     67.609	      2.847	     27.731	    4.621	    5.208	    7.408	    5.631
 1980	     1	    26	    0.000	     16.498	     28.919	     69.096	      1.546	     28.819	    4.213	    5.404	    8.157	    6.430
 1980	     1	    27	    0.000	     17.581	     32.065	     72.217	      1.812	     27.081	    4.107	    5.496	    7.917	    6.358
 1980	     1	    28	    0.310	     22.039	     27.444	     77.880	      2.628	     20.538	    2.967	    4.338	    6.131	    4.812
 1980	     1	    29	    0.000	     18.415	     29.742	     67.061	      2.806	     28.271	    4.268	    6.010	    8.168	    6.521
 1980	     1	    30	    0.000	     19.355	     32.468	     68.750	      2.476	     22.503	    4.879	    5.173	    6.739	    5.418
 1980	     1	    31	   27.141	     17.579	     23.744	     90.042	      2.180	     12.375	    2.036	    2.460	    3.738	    2.622
 1980	     2	     1	   27.063	     16.319	     23.734	     83.402	      2.542	     21.750	    4.509	    3.943	    6.014	    4.532
 1980	     2	     2	    0.438	     15.952	     25.536	     75.428	      2.782	     24.320	    2.136	    4.681	    6.736	    5.163
 1980	     2	     3	    0.000	     20.272	     29.929	     70.271	      2.553	     28.912	    4.267	    5.855	    8.461	    6.832
 1980	     2	     4	    0.000	     18.548	     30.421	     67.975	      2.688	     26.790	    3.912	    5.576	    7.797	    6.240
 1980	     2	     5	    1.600	     21.783	     32.031	     77.952	      2.032	     15.750	    3.842	    3.571	    4.932	    3.878
 1980	     2	     6	    3.879	     22.448	     30.762	     73.946	      2.086	     24.615	    3.565	    5.293	    7.400	    6.020
 1980	     2	     7	    0.000	     19.766	     29.048	     70.503	      1.690	     26.196	    3.789	    5.365	    7.624	    6.090
 1980	     2	     8	    0.000	     19.502	     30.492	     62.807	      1.606	     27.717	    3.921	    5.505	    8.108	    6.534
 1980	     2	     9	    0.000	     21.774	     33.898	     65.758	      2.661	     27.736	    5.071	    6.271	    8.408	    6.972
 1980	     2	    10	   14.961	     19.354	     29.594	     85.977	      2.527	     16.322	    2.408	    3.595	    4.947	    3.801
 1980	     2	    11	   12.945	     20.708	     26.340	     79.929	      2.194	     16.833	    4.050	    3.556	    5.042	    3.831
 1980	     2	    12	    0.128	     18.672	     31.769	     73.393	      2.065	     27.749	    4.095	    5.409	    8.136	    6.575
 1980	     2	    13	    0.000	     20.742	     29.529	     78.806	      2.208	     25.998	    3.698	    5.143	    7.638	    6.148
 1980	     2	    14	    0.000	     21.649	     30.552	     71.741	      2.780	     27.565	    3.959	    5.837	    8.178	    6.665
 1980	     2	    15	    0.000	     20.628	     31.748	     72.165	      2.124	     26.564	    3.703	    5.540	    7.899	    6.436
