CABra ID  	 629
ANA ID    	 31600000
Longitude 	 -47.116   	 dd
Latitude  	 -1.653    	 dd
Area      	 31.83     	 km²
Elevation 	 77.32     	 m
 
p_ref, tmin_ref, tmax_ref, rh_ref, wnd_ref and srad_ref product are derived from the Xavier et al. (2016) dataset
et_ref product is derived from the GLEAM dataset
pet_pm was estimated by Penman-Monteith method
pet_pt was estimated by Priestley & Taylor method
pet_hg was estimated by Hargreaves method
 
 Year	 Month	   Day	    p_ref	   tmin_ref	   tmax_ref	     rh_ref	    wnd_ref	   srad_ref	   et_ref	   pet_pm	   pet_pt	   pet_hg
     	      	      	       mm	         °C	         °C	          %	      m s¯¹	     MJ m¯²	       mm	       mm	       mm	       mm
 1980	     1	     1	    3.018	     22.721	     33.110	     74.803	      1.816	     22.207	    3.895	    5.138	    6.786	    5.592
 1980	     1	     2	    0.970	     21.782	     33.344	     77.270	      1.880	     23.142	    3.230	    5.158	    7.024	    5.782
 1980	     1	     3	    0.497	     22.257	     32.233	     77.478	      1.680	     17.631	    3.243	    4.320	    5.446	    4.374
 1980	     1	     4	    1.834	     23.659	     33.147	     79.811	      1.723	     19.580	    2.352	    4.843	    6.071	    4.983
 1980	     1	     5	    3.006	     23.279	     31.827	     80.451	      1.549	     17.411	    3.165	    4.198	    5.409	    4.349
 1980	     1	     6	    8.688	     23.272	     31.068	     88.068	      1.309	     14.146	    2.982	    3.215	    4.487	    3.504
 1980	     1	     7	   17.609	     22.892	     32.311	     83.170	      1.286	     15.274	    2.931	    3.598	    4.811	    3.820
 1980	     1	     8	    9.859	     22.609	     32.517	     82.638	      1.462	     16.953	    3.307	    3.999	    5.276	    4.236
 1980	     1	     9	    3.037	     22.744	     29.975	     90.712	      1.258	     10.383	    3.053	    2.415	    3.435	    2.525
 1980	     1	    10	   44.594	     22.497	     29.871	     88.162	      0.820	     10.854	    1.881	    3.047	    3.556	    2.630
 1980	     1	    11	    4.414	     22.270	     29.737	     90.541	      0.756	     11.426	    3.422	    2.813	    3.702	    2.757
 1980	     1	    12	    8.805	     21.913	     31.262	     86.402	      0.826	     14.952	    2.046	    3.411	    4.673	    3.656
 1980	     1	    13	   16.063	     21.801	     27.092	     94.505	      0.630	      9.392	    3.042	    2.025	    3.126	    2.185
 1980	     1	    14	   24.969	     22.016	     29.903	     90.180	      1.004	     11.618	    1.329	    2.650	    3.750	    2.800
 1980	     1	    15	   31.641	     21.713	     27.530	     89.245	      0.757	     10.824	    1.698	    2.301	    3.503	    2.529
 1980	     1	    16	    0.301	     21.650	     31.392	     85.602	      0.718	     17.611	    3.548	    3.755	    5.401	    4.299
 1980	     1	    17	    4.758	     22.682	     31.857	     84.650	      1.080	     16.902	    3.501	    3.775	    5.251	    4.196
 1980	     1	    18	    9.805	     22.411	     32.049	     83.211	      1.020	     16.017	    3.316	    3.464	    5.000	    3.973
 1980	     1	    19	   12.695	     22.387	     30.273	     90.528	      0.710	     11.771	    3.228	    2.617	    3.806	    2.861
 1980	     1	    20	    5.949	     22.017	     30.250	     89.972	      1.129	     14.616	    3.153	    3.126	    4.567	    3.537
 1980	     1	    21	    6.621	     23.151	     30.982	     86.967	      1.397	     15.080	    2.995	    3.355	    4.743	    3.727
 1980	     1	    22	    3.037	     22.624	     31.116	     87.136	      1.586	     17.905	    3.021	    3.752	    5.511	    4.405
 1980	     1	    23	    6.027	     22.711	     32.443	     83.180	      1.337	     19.476	    2.606	    4.382	    5.991	    4.868
