CABra ID  	 647
ANA ID    	 40810350
Longitude 	 -44.485   	 dd
Latitude  	 -20.103   	 dd
Area      	 8.55      	 km²
Elevation 	 976.16    	 m
 
p_ref, tmin_ref, tmax_ref, rh_ref, wnd_ref and srad_ref product are derived from the Xavier et al. (2016) dataset
et_ref product is derived from the GLEAM dataset
pet_pm was estimated by Penman-Monteith method
pet_pt was estimated by Priestley & Taylor method
pet_hg was estimated by Hargreaves method
 
 Year	 Month	   Day	    p_ref	   tmin_ref	   tmax_ref	     rh_ref	    wnd_ref	   srad_ref	   et_ref	   pet_pm	   pet_pt	   pet_hg
     	      	      	       mm	         °C	         °C	          %	      m s¯¹	     MJ m¯²	       mm	       mm	       mm	       mm
 1980	     1	     1	   26.953	     19.450	     26.710	     89.787	      1.788	     12.942	    2.396	    2.806	    4.146	    2.914
 1980	     1	     2	   21.898	     17.904	     28.329	     77.533	      0.831	     17.253	    2.622	    3.664	    5.292	    3.888
 1980	     1	     3	    1.172	     17.127	     29.291	     75.765	      1.399	     20.582	    3.213	    4.403	    6.200	    4.649
 1980	     1	     4	    0.053	     15.655	     30.542	     76.828	      1.231	     26.344	    3.750	    5.219	    7.784	    5.935
 1980	     1	     5	    0.102	     16.598	     29.710	     76.357	      0.999	     25.902	    3.845	    5.138	    7.668	    5.843
 1980	     1	     6	    0.625	     15.960	     30.207	     76.614	      1.364	     28.613	    4.558	    5.651	    8.423	    6.443
 1980	     1	     7	    0.000	     15.945	     29.634	     78.990	      1.182	     20.255	    3.963	    4.223	    6.073	    4.528
 1980	     1	     8	    0.298	     18.793	     26.767	     87.635	      0.908	     12.256	    4.341	    2.653	    3.943	    2.739
 1980	     1	     9	    0.087	     18.582	     28.435	     78.791	      1.412	     14.499	    4.387	    3.319	    4.570	    3.299
 1980	     1	    10	   10.637	     18.939	     28.085	     82.144	      1.215	     13.528	    2.167	    3.114	    4.311	    3.078
 1980	     1	    11	   20.914	     18.538	     25.554	     93.254	      0.610	     11.040	    3.836	    2.362	    3.595	    2.423
 1980	     1	    12	   43.141	     18.774	     21.768	     96.139	      1.608	     10.489	    3.980	    2.042	    3.400	    2.199
 1980	     1	    13	   33.547	     18.776	     22.936	     92.359	      0.916	     10.465	    1.384	    2.195	    3.413	    2.228
 1980	     1	    14	   15.137	     18.262	     27.099	     83.654	      2.236	     14.342	    1.537	    3.191	    4.489	    3.198
 1980	     1	    15	    2.315	     18.437	     25.679	     88.518	      1.996	     10.974	    2.474	    2.475	    3.576	    2.409
 1980	     1	    16	   23.320	     19.443	     21.623	     95.346	      1.400	     10.444	    1.608	    2.066	    3.405	    2.205
 1980	     1	    17	   37.469	     18.799	     23.664	     93.653	      1.424	     10.620	    3.005	    2.181	    3.464	    2.283
 1980	     1	    18	   26.164	     18.787	     25.804	     92.392	      0.770	     11.349	    1.830	    2.414	    3.686	    2.506
 1980	     1	    19	   23.633	     18.316	     29.656	     85.080	      1.175	     18.671	    5.004	    3.837	    5.731	    4.297
 1980	     1	    20	    7.373	     18.729	     30.259	     83.854	      0.929	     20.431	    5.118	    4.243	    6.256	    4.760
 1980	     1	    21	   10.395	     19.195	     32.226	     82.036	      0.836	     20.488	    4.468	    4.355	    6.353	    4.910
 1980	     1	    22	    5.111	     18.999	     28.310	     89.758	      0.847	     16.407	    4.395	    3.379	    5.097	    3.746
 1980	     1	    23	   13.668	     18.641	     29.051	     86.626	      0.828	     17.290	    5.104	    3.620	    5.345	    3.966
 1980	     1	    24	    8.207	     18.912	     30.177	     84.833	      1.408	     17.164	    3.760	    3.712	    5.348	    4.003
 1980	     1	    25	    9.543	     19.891	     28.666	     87.475	      0.809	     15.281	    2.930	    3.307	    4.826	    3.542
 1980	     1	    26	   19.473	     19.720	     28.579	     89.169	      0.902	     14.333	    3.362	    3.064	    4.560	    3.312
 1980	     1	    27	    5.025	     19.827	     29.375	     88.234	      0.888	     18.790	    2.411	    3.869	    5.811	    4.388
 1980	     1	    28	    3.520	     19.610	     31.254	     83.507	      1.105	     20.668	    4.042	    4.389	    6.387	    4.921
 1980	     1	    29	    1.792	     19.087	     31.054	     81.650	      1.338	     20.762	    3.672	    4.435	    6.386	    4.902
 1980	     1	    30	    1.515	     18.252	     30.105	     80.571	      0.878	     22.484	    4.226	    4.536	    6.802	    5.198
 1980	     1	    31	    0.035	     18.813	     29.673	     83.625	      0.794	     17.690	    4.063	    3.656	    5.475	    4.096
 1980	     2	     1	    0.185	     20.392	     29.081	     85.206	      1.143	     16.029	    2.284	    3.469	    5.056	    3.755
 1980	     2	     2	    1.816	     20.683	     27.808	     91.247	      1.108	     10.755	    3.336	    2.403	    3.599	    2.490
 1980	     2	     3	   22.266	     20.548	     29.681	     84.415	      0.907	     12.259	    4.870	    2.870	    4.028	    2.898
 1980	     2	     4	    0.010	     17.983	     30.589	     78.835	      1.410	     25.868	    4.536	    5.199	    7.763	    5.996
 1980	     2	     5	    0.000	     17.412	     31.141	     77.662	      0.837	     28.525	    4.771	    5.521	    8.523	    6.611
 1980	     2	     6	    0.000	     16.992	     33.354	     74.154	      0.626	     26.886	    4.552	    5.418	    8.138	    6.364
 1980	     2	     7	    0.000	     18.173	     33.940	     73.007	      0.918	     25.427	    5.078	    5.331	    7.795	    6.142
 1980	     2	     8	   30.070	     20.303	     31.868	     82.938	      0.940	     17.311	    5.006	    3.743	    5.472	    4.185
 1980	     2	     9	   15.957	     18.635	     29.955	     77.720	      1.321	     25.670	    4.592	    5.349	    7.707	    5.952
 1980	     2	    10	    0.618	     18.546	     28.932	     79.572	      1.585	     21.123	    4.677	    4.524	    6.385	    4.833
 1980	     2	    11	    0.128	     15.846	     29.316	     79.321	      1.674	     19.384	    4.350	    4.250	    5.807	    4.311
 1980	     2	    12	    0.006	     15.654	     31.897	     78.641	      1.413	     25.222	    3.734	    5.147	    7.521	    5.776
 1980	     2	    13	    0.000	     18.387	     25.216	     90.713	      1.027	     10.124	    3.401	    2.216	    3.337	    2.208
 1980	     2	    14	    7.461	     17.628	     24.924	     85.734	      0.958	     11.110	    1.434	    2.393	    3.567	    2.391
 1980	     2	    15	    1.563	     17.546	     27.419	     82.831	      1.349	     12.550	    2.671	    2.799	    3.983	    2.785
 1980	     2	    16	    0.961	     17.725	     23.865	     90.483	      1.064	     10.156	    2.389	    2.203	    3.307	    2.159
 1980	     2	    17	    3.104	     17.042	     26.917	     86.928	      0.939	     16.023	    2.670	    3.172	    4.875	    3.511
 1980	     2	    18	    4.180	     18.475	     22.827	     94.221	      1.110	     10.193	    1.546	    2.071	    3.321	    2.159
 1980	     2	    19	    6.420	     17.642	     28.313	     86.506	      1.943	     18.724	    3.413	    3.899	    5.662	    4.205
 1980	     2	    20	    7.582	     15.193	     27.612	     84.063	      0.820	     18.457	    3.463	    3.715	    5.467	    3.985
 1980	     2	    21	    0.000	     16.677	     29.877	     79.914	      1.242	     20.757	    3.998	    4.320	    6.230	    4.696
 1980	     2	    22	    0.000	     18.035	     28.963	     81.258	      1.610	     17.083	    3.544	    3.764	    5.247	    3.886
 1980	     2	    23	    4.066	     17.130	     31.462	     80.554	      0.788	     23.419	    4.678	    4.666	    7.054	    5.430
 1980	     2	    24	    6.262	     16.863	     30.522	     77.301	      0.982	     24.326	    4.066	    4.845	    7.255	    5.559
 1980	     2	    25	    0.940	     16.760	     28.806	     80.644	      1.113	     22.026	    4.147	    4.327	    6.537	    4.923
 1980	     2	    26	    3.150	     16.525	     29.916	     78.262	      1.271	     21.124	    4.367	    4.370	    6.322	    4.773
 1980	     2	    27	    0.000	     18.055	     29.193	     78.543	      1.120	     17.312	    4.156	    3.666	    5.313	    3.950
 1980	     2	    28	    0.122	     17.329	     29.904	     79.109	      1.108	     19.825	    4.967	    4.117	    5.995	    4.522
 1980	     2	    29	    0.065	     16.419	     30.305	     77.559	      1.236	     26.405	    4.134	    5.248	    7.803	    5.987
 1980	     3	     1	    0.346	     16.457	     29.647	     74.402	      1.478	     24.028	    4.487	    4.802	    7.107	    5.407
 1980	     3	     2	    0.000	     18.248	     29.325	     77.717	      1.488	     19.269	    3.972	    4.046	    5.856	    4.414
 1980	     3	     3	    0.881	     17.358	     30.391	     78.119	      1.363	     21.082	    4.038	    4.397	    6.357	    4.839
 1980	     3	     4	    0.999	     16.400	     29.507	     77.443	      1.317	     20.109	    4.144	    4.187	    6.015	    4.514
 1980	     3	     5	    0.000	     15.119	     29.876	     76.766	      1.466	     22.409	    3.890	    4.598	    6.601	    4.974
 1980	     3	     6	    0.000	     15.216	     29.718	     75.056	      1.099	     23.900	    4.236	    4.710	    7.008	    5.300
 1980	     3	     7	    0.000	     13.711	     30.291	     76.302	      1.271	     25.310	    3.976	    4.882	    7.347	    5.548
 1980	     3	     8	    0.034	     14.935	     32.103	     74.149	      0.692	     25.223	    3.774	    4.923	    7.474	    5.740
 1980	     3	     9	    0.000	     16.153	     32.744	     75.619	      0.771	     23.917	    4.331	    4.809	    7.190	    5.566
 1980	     3	    10	    3.494	     16.535	     33.176	     76.231	      0.856	     23.216	    4.537	    4.738	    7.024	    5.455
 1980	     3	    11	    0.304	     17.647	     32.274	     77.408	      0.958	     18.488	    4.999	    4.013	    5.695	    4.355
 1980	     3	    12	   33.359	     19.662	     29.142	     83.181	      0.797	     14.722	    4.404	    3.168	    4.642	    3.422
 1980	     3	    13	    0.353	     19.502	     28.423	     87.068	      1.063	     12.966	    3.955	    2.862	    4.146	    2.982
 1980	     3	    14	    5.449	     17.492	     28.398	     89.629	      1.116	     12.127	    4.397	    2.483	    3.862	    2.722
 1980	     3	    15	   12.973	     17.679	     29.909	     89.883	      0.966	     14.135	    3.622	    2.951	    4.432	    3.238
 1980	     3	    16	   15.566	     18.857	     29.249	     82.774	      1.265	     19.612	    4.442	    4.020	    5.954	    4.521
 1980	     3	    17	    0.000	     15.419	     28.638	     82.009	      1.055	     15.403	    3.149	    3.264	    4.668	    3.379
