CABra ID  	 648
ANA ID    	 40810800
Longitude 	 -44.436   	 dd
Latitude  	 -20.088   	 dd
Area      	 56.12     	 km²
Elevation 	 949.39    	 m
 
p_ref, tmin_ref, tmax_ref, rh_ref, wnd_ref and srad_ref product are derived from the Xavier et al. (2016) dataset
et_ref product is derived from the GLEAM dataset
pet_pm was estimated by Penman-Monteith method
pet_pt was estimated by Priestley & Taylor method
pet_hg was estimated by Hargreaves method
 
 Year	 Month	   Day	    p_ref	   tmin_ref	   tmax_ref	     rh_ref	    wnd_ref	   srad_ref	   et_ref	   pet_pm	   pet_pt	   pet_hg
     	      	      	       mm	         °C	         °C	          %	      m s¯¹	     MJ m¯²	       mm	       mm	       mm	       mm
 1980	     1	     1	   27.297	     19.397	     26.457	     89.793	      1.550	     12.783	    2.549	    2.782	    4.115	    2.867
 1980	     1	     2	   20.094	     18.270	     27.928	     77.759	      0.832	     17.476	    2.887	    3.687	    5.378	    3.937
 1980	     1	     3	    1.101	     17.024	     29.273	     75.748	      1.398	     20.636	    3.063	    4.408	    6.237	    4.654
 1980	     1	     4	    0.036	     15.592	     30.540	     76.695	      1.229	     26.281	    3.760	    5.209	    7.797	    5.916
 1980	     1	     5	    0.080	     16.550	     29.686	     76.235	      1.000	     25.881	    3.813	    5.132	    7.692	    5.833
 1980	     1	     6	    1.155	     15.929	     30.204	     76.467	      1.365	     28.595	    4.498	    5.647	    8.452	    6.436
 1980	     1	     7	    0.000	     15.832	     29.771	     78.030	      1.078	     20.644	    3.979	    4.255	    6.206	    4.617
 1980	     1	     8	    0.237	     18.973	     26.789	     87.461	      0.906	     12.226	    4.351	    2.652	    3.958	    2.740
 1980	     1	     9	    0.015	     18.613	     28.981	     78.512	      1.408	     14.698	    4.507	    3.357	    4.655	    3.367
 1980	     1	    10	    8.734	     18.953	     28.183	     82.084	      1.132	     13.325	    2.504	    3.120	    4.276	    3.036
 1980	     1	    11	   21.875	     18.435	     25.578	     93.180	      0.607	     11.028	    4.017	    2.362	    3.606	    2.418
 1980	     1	    12	   46.594	     18.777	     21.749	     96.077	      1.597	     10.491	    4.135	    2.049	    3.416	    2.199
 1980	     1	    13	   35.688	     18.802	     22.980	     93.124	      0.913	     10.466	    1.576	    2.171	    3.431	    2.230
 1980	     1	    14	   16.547	     18.196	     27.164	     83.968	      2.270	     14.487	    1.366	    3.184	    4.547	    3.230
 1980	     1	    15	    1.488	     18.402	     25.635	     88.495	      2.141	     10.988	    2.488	    2.458	    3.595	    2.410
 1980	     1	    16	   21.281	     19.454	     21.570	     95.303	      1.393	     10.445	    1.834	    2.071	    3.421	    2.204
 1980	     1	    17	   36.500	     18.912	     23.742	     93.538	      1.417	     10.625	    3.328	    2.189	    3.486	    2.290
 1980	     1	    18	   27.172	     18.710	     25.613	     92.288	      0.765	     11.375	    1.960	    2.419	    3.705	    2.504
 1980	     1	    19	   23.281	     18.099	     30.011	     84.886	      1.173	     18.924	    5.057	    3.876	    5.828	    4.363
 1980	     1	    20	    6.883	     18.663	     30.283	     83.844	      0.936	     20.452	    5.262	    4.237	    6.285	    4.762
 1980	     1	    21	    9.203	     19.239	     32.468	     81.993	      0.838	     20.736	    4.420	    4.396	    6.457	    4.986
 1980	     1	    22	    3.285	     19.138	     28.261	     89.700	      0.845	     16.427	    4.561	    3.383	    5.128	    3.755
 1980	     1	    23	   11.578	     18.604	     29.063	     85.969	      0.670	     17.261	    5.191	    3.605	    5.358	    3.958
 1980	     1	    24	    6.945	     18.797	     30.228	     84.513	      1.304	     17.153	    3.860	    3.708	    5.364	    3.998
 1980	     1	    25	    8.664	     19.935	     28.946	     87.850	      0.666	     15.125	    3.122	    3.272	    4.811	    3.519
 1980	     1	    26	   25.484	     19.781	     28.942	     88.954	      0.897	     14.405	    3.552	    3.079	    4.607	    3.345
 1980	     1	    27	    4.668	     19.933	     29.234	     88.375	      0.881	     18.590	    2.505	    3.829	    5.779	    4.340
 1980	     1	    28	    4.000	     19.574	     31.456	     83.562	      1.117	     20.655	    4.215	    4.385	    6.414	    4.928
 1980	     1	    29	    2.988	     18.942	     31.037	     81.610	      1.342	     20.863	    3.790	    4.446	    6.434	    4.917
 1980	     1	    30	    1.690	     18.127	     30.063	     80.603	      0.927	     22.937	    4.152	    4.557	    6.950	    5.293
 1980	     1	    31	    0.022	     18.508	     29.929	     83.736	      0.736	     18.205	    4.163	    3.713	    5.636	    4.213
 1980	     2	     1	    0.090	     20.350	     29.104	     85.016	      1.135	     16.114	    2.562	    3.482	    5.099	    3.775
 1980	     2	     2	    2.486	     20.615	     27.504	     91.208	      0.977	     10.934	    3.614	    2.435	    3.658	    2.521
 1980	     2	     3	   22.531	     20.511	     29.698	     84.427	      0.905	     12.124	    4.957	    2.848	    4.006	    2.865
 1980	     2	     4	    0.007	     17.875	     30.647	     79.238	      1.386	     25.892	    4.477	    5.153	    7.800	    5.998
 1980	     2	     5	    0.000	     17.254	     31.117	     77.379	      0.783	     28.525	    4.735	    5.522	    8.548	    6.597
 1980	     2	     6	    0.000	     16.530	     33.238	     74.066	      0.626	     27.027	    4.489	    5.431	    8.183	    6.354
 1980	     2	     7	    0.000	     17.944	     34.061	     73.738	      0.920	     25.560	    4.856	    5.352	    7.858	    6.167
 1980	     2	     8	   29.703	     20.268	     32.065	     82.729	      0.835	     18.393	    5.192	    3.875	    5.804	    4.454
 1980	     2	     9	   14.852	     18.213	     29.866	     78.060	      1.137	     25.794	    4.366	    5.293	    7.749	    5.944
 1980	     2	    10	    0.356	     18.599	     28.741	     79.018	      1.365	     21.421	    4.700	    4.505	    6.490	    4.893
 1980	     2	    11	    0.167	     15.744	     29.277	     79.127	      1.672	     19.433	    4.244	    4.263	    5.841	    4.315
 1980	     2	    12	    0.004	     15.539	     32.046	     77.792	      1.260	     25.526	    3.689	    5.143	    7.640	    5.848
 1980	     2	    13	    0.000	     18.310	     25.385	     90.572	      0.946	     10.112	    3.657	    2.221	    3.350	    2.208
 1980	     2	    14	    5.266	     17.598	     24.849	     85.614	      0.951	     11.123	    1.594	    2.395	    3.585	    2.391
 1980	     2	    15	    2.479	     17.653	     27.597	     82.682	      1.343	     12.612	    2.700	    2.715	    4.023	    2.808
