CABra ID  	 85
ANA ID    	 28300000
Longitude 	 -48.550   	 dd
Latitude  	 -6.401    	 dd
Area      	 370831.07 	 km²
Elevation 	 324.00    	 m
 
p_ref, tmin_ref, tmax_ref, rh_ref, wnd_ref and srad_ref product are derived from the Xavier et al. (2016) dataset
et_ref product is derived from the GLEAM dataset
pet_pm was estimated by Penman-Monteith method
pet_pt was estimated by Priestley & Taylor method
pet_hg was estimated by Hargreaves method
 
 Year	 Month	   Day	    p_ref	   tmin_ref	   tmax_ref	     rh_ref	    wnd_ref	   srad_ref	   et_ref	   pet_pm	   pet_pt	   pet_hg
     	      	      	       mm	         °C	         °C	          %	      m s¯¹	     MJ m¯²	       mm	       mm	       mm	       mm
 1980	     1	     1	   15.233	     20.315	     28.959	     84.212	      1.284	     15.308	    2.910	    3.153	    4.737	    3.579
 1980	     1	     2	    8.030	     19.933	     29.473	     81.039	      1.193	     17.047	    3.113	    3.541	    5.208	    3.970
 1980	     1	     3	   19.083	     19.553	     30.263	     79.523	      0.742	     17.452	    3.839	    3.547	    5.325	    4.093
 1980	     1	     4	    5.970	     20.213	     31.526	     79.091	      0.898	     21.308	    3.628	    4.401	    6.467	    5.119
 1980	     1	     5	    3.922	     20.603	     31.199	     79.960	      1.416	     18.164	    3.999	    3.997	    5.599	    4.378
 1980	     1	     6	    9.839	     20.784	     30.314	     84.652	      0.912	     16.974	    3.484	    3.781	    5.236	    4.053
 1980	     1	     7	    9.033	     21.089	     30.972	     83.430	      1.055	     17.334	    3.352	    3.849	    5.376	    4.204
 1980	     1	     8	    9.904	     21.308	     28.872	     89.137	      1.038	     12.678	    3.209	    2.781	    4.060	    3.003
 1980	     1	     9	    7.483	     21.322	     30.826	     83.644	      1.152	     17.291	    3.259	    3.694	    5.358	    4.175
 1980	     1	    10	   10.550	     21.222	     27.750	     90.549	      1.059	     11.672	    3.221	    2.599	    3.775	    2.725
 1980	     1	    11	   29.492	     20.966	     27.924	     89.586	      1.052	     11.371	    2.776	    2.452	    3.686	    2.646
 1980	     1	    12	   15.871	     20.852	     27.277	     92.926	      1.137	     11.058	    1.910	    2.376	    3.591	    2.552
 1980	     1	    13	   21.969	     20.619	     29.154	     89.694	      1.105	     14.823	    2.868	    3.103	    4.634	    3.496
 1980	     1	    14	   18.065	     20.854	     29.215	     87.434	      1.266	     14.823	    3.115	    3.373	    4.649	    3.514
 1980	     1	    15	   15.544	     20.983	     29.460	     88.130	      1.261	     13.628	    2.838	    2.891	    4.326	    3.240
 1980	     1	    16	   16.901	     21.256	     29.697	     87.698	      1.021	     14.089	    3.115	    2.931	    4.459	    3.365
 1980	     1	    17	   18.997	     21.318	     29.545	     87.412	      1.353	     14.456	    2.543	    3.251	    4.555	    3.449
 1980	     1	    18	   16.217	     20.870	     29.181	     87.324	      1.196	     15.367	    2.687	    3.364	    4.783	    3.638
 1980	     1	    19	    6.458	     20.559	     31.138	     82.441	      1.099	     20.046	    4.099	    4.160	    6.111	    4.829
 1980	     1	    20	    8.105	     21.340	     32.368	     83.167	      1.253	     19.871	    4.640	    4.281	    6.123	    4.892
 1980	     1	    21	   13.602	     20.405	     31.893	     82.119	      0.964	     19.621	    4.084	    4.056	    6.001	    4.748
 1980	     1	    22	    1.825	     20.809	     32.325	     82.965	      0.952	     20.422	    4.411	    4.311	    6.260	    4.994
 1980	     1	    23	    2.274	     21.749	     31.049	     85.572	      1.084	     16.367	    3.991	    3.603	    5.127	    3.992
 1980	     1	    24	    6.106	     21.493	     31.398	     84.870	      1.066	     18.642	    4.063	    3.816	    5.760	    4.545
 1980	     1	    25	   12.331	     21.360	     30.954	     83.928	      1.259	     15.730	    3.887	    3.437	    4.929	    3.810
 1980	     1	    26	    4.425	     21.057	     31.110	     82.981	      0.992	     16.291	    4.310	    3.544	    5.075	    3.938
 1980	     1	    27	    3.857	     21.756	     31.946	     80.979	      1.113	     18.054	    4.242	    4.033	    5.610	    4.439
 1980	     1	    28	    8.169	     21.833	     29.722	     87.324	      1.053	     13.612	    3.025	    2.910	    4.340	    3.269
 1980	     1	    29	   12.176	     21.547	     29.641	     88.410	      0.864	     14.760	    3.294	    3.100	    4.648	    3.534
 1980	     1	    30	   11.029	     21.758	     29.302	     90.368	      0.992	     13.052	    3.069	    2.914	    4.186	    3.128
 1980	     1	    31	   18.032	     21.631	     28.739	     91.312	      1.096	     13.457	    3.528	    3.024	    4.270	    3.181
 1980	     2	     1	   16.801	     21.717	     29.007	     89.997	      1.252	     12.156	    2.993	    2.674	    3.930	    2.891
 1980	     2	     2	   15.416	     21.529	     28.219	     91.519	      1.115	     10.881	    3.071	    2.386	    3.573	    2.561
 1980	     2	     3	   12.641	     21.535	     31.309	     88.089	      0.947	     16.689	    3.554	    3.494	    5.215	    4.076
 1980	     2	     4	   12.947	     21.695	     30.036	     87.628	      1.067	     16.518	    3.506	    3.488	    5.166	    3.992
 1980	     2	     5	   12.052	     21.474	     29.714	     87.339	      0.883	     14.834	    3.043	    3.010	    4.684	    3.564
 1980	     2	     6	   15.727	     21.183	     30.817	     84.701	      1.054	     17.261	    3.576	    3.621	    5.362	    4.178
 1980	     2	     7	    7.202	     21.765	     30.973	     87.212	      1.050	     14.957	    3.003	    3.143	    4.739	    3.650
 1980	     2	     8	    7.794	     21.630	     29.727	     87.538	      1.104	     14.080	    2.843	    3.212	    4.460	    3.375
 1980	     2	     9	   17.721	     21.663	     28.090	     91.648	      1.008	     12.030	    2.853	    2.594	    3.881	    2.829
 1980	     2	    10	   16.937	     21.606	     30.287	     87.888	      0.795	     15.275	    3.052	    3.169	    4.793	    3.681
 1980	     2	    11	   16.562	     21.714	     29.682	     86.870	      1.249	     14.419	    3.483	    3.025	    4.566	    3.463
 1980	     2	    12	   20.036	     21.678	     28.434	     90.364	      1.180	     11.752	    3.497	    2.518	    3.808	    2.774
 1980	     2	    13	   25.798	     21.615	     28.385	     91.603	      1.045	     11.439	    2.864	    2.546	    3.723	    2.700
 1980	     2	    14	   31.137	     21.014	     26.224	     93.897	      1.171	     10.299	    2.409	    2.120	    3.381	    2.352
 1980	     2	    15	   52.103	     20.317	     24.689	     93.684	      1.424	     10.141	    2.644	    2.076	    3.299	    2.254
 1980	     2	    16	   54.963	     19.933	     25.306	     90.997	      1.559	     10.278	    2.495	    2.145	    3.330	    2.290
 1980	     2	    17	   39.985	     20.136	     26.790	     92.074	      1.041	     10.774	    2.965	    2.295	    3.486	    2.450
 1980	     2	    18	   18.240	     21.168	     29.312	     88.942	      1.122	     13.846	    3.025	    3.154	    4.375	    3.289
 1980	     2	    19	   24.089	     20.224	     28.574	     87.873	      1.237	     14.531	    3.042	    3.194	    4.524	    3.383
 1980	     2	    20	   12.293	     20.621	     30.310	     85.236	      0.905	     17.715	    3.453	    3.682	    5.432	    4.224
 1980	     2	    21	    8.715	     21.426	     30.692	     84.530	      0.903	     15.563	    3.570	    3.345	    4.871	    3.759
 1980	     2	    22	   17.813	     21.087	     26.885	     90.885	      1.146	     11.015	    2.777	    2.348	    3.577	    2.539
 1980	     2	    23	   16.746	     21.052	     28.856	     87.809	      1.066	     12.684	    2.888	    2.810	    4.043	    2.984
