CABra ID  	 91
ANA ID    	 30400000
Longitude 	 -51.439   	 dd
Latitude  	 0.711     	 dd
Area      	 30586.36  	 km²
Elevation 	 159.58    	 m
 
p_ref, tmin_ref, tmax_ref, rh_ref, wnd_ref and srad_ref product are derived from the Xavier et al. (2016) dataset
et_ref product is derived from the GLEAM dataset
pet_pm was estimated by Penman-Monteith method
pet_pt was estimated by Priestley & Taylor method
pet_hg was estimated by Hargreaves method
 
 Year	 Month	   Day	    p_ref	   tmin_ref	   tmax_ref	     rh_ref	    wnd_ref	   srad_ref	   et_ref	   pet_pm	   pet_pt	   pet_hg
     	      	      	       mm	         °C	         °C	          %	      m s¯¹	     MJ m¯²	       mm	       mm	       mm	       mm
 1980	     1	     1	   13.212	     23.359	     31.447	     84.670	      2.038	     18.652	    4.951	    4.533	    5.753	    4.644
 1980	     1	     2	   10.631	     22.865	     31.801	     84.624	      1.880	     21.601	    4.221	    4.433	    6.578	    5.370
 1980	     1	     3	    4.218	     23.284	     31.099	     86.666	      1.856	     15.841	    2.964	    4.027	    4.959	    3.926
 1980	     1	     4	    3.900	     23.890	     30.798	     86.284	      2.114	     17.013	    5.187	    3.862	    5.297	    4.230
 1980	     1	     5	    9.586	     23.675	     30.492	     84.584	      2.228	     16.142	    3.893	    3.561	    5.042	    3.991
 1980	     1	     6	    8.896	     23.097	     31.158	     87.857	      1.583	     18.206	    5.064	    3.236	    5.612	    4.505
 1980	     1	     7	   22.099	     23.185	     29.793	     89.212	      1.935	     10.335	    4.345	    2.706	    3.433	    2.521
 1980	     1	     8	   13.359	     22.881	     30.619	     87.396	      1.372	     13.727	    4.891	    3.334	    4.357	    3.368
 1980	     1	     9	   10.791	     23.131	     29.688	     90.251	      1.545	     10.332	    3.775	    2.362	    3.431	    2.516
 1980	     1	    10	    7.327	     22.873	     28.829	     92.961	      1.185	      9.211	    2.339	    2.330	    3.118	    2.214
 1980	     1	    11	    8.453	     22.545	     28.664	     94.511	      0.975	     10.324	    4.149	    2.359	    3.406	    2.468
 1980	     1	    12	    7.887	     22.589	     27.630	     93.990	      0.693	      9.733	    4.642	    2.664	    3.241	    2.300
 1980	     1	    13	    8.038	     22.431	     27.896	     95.714	      0.735	     10.223	    3.847	    2.052	    3.370	    2.419
 1980	     1	    14	   13.416	     22.183	     27.446	     91.787	      0.938	      9.141	    3.864	    2.222	    3.075	    2.145
 1980	     1	    15	    8.253	     22.100	     28.804	     90.791	      0.969	     11.545	    4.132	    2.671	    3.722	    2.750
 1980	     1	    16	    8.009	     22.145	     30.480	     86.371	      1.083	     19.041	    3.021	    3.897	    5.793	    4.626
 1980	     1	    17	    1.853	     23.486	     30.953	     83.883	      1.797	     17.945	    3.685	    3.976	    5.551	    4.450
 1980	     1	    18	    1.883	     23.074	     30.728	     83.039	      1.437	     18.043	    3.448	    3.992	    5.558	    4.443
 1980	     1	    19	   11.544	     23.348	     28.715	     93.703	      0.868	     10.022	    4.615	    2.171	    3.348	    2.419
 1980	     1	    20	    7.679	     22.455	     30.237	     89.455	      1.088	     11.488	    5.169	    3.400	    3.735	    2.793
 1980	     1	    21	    8.557	     23.018	     28.657	     87.957	      1.359	     11.244	    7.431	    3.414	    3.667	    2.703
 1980	     1	    22	   21.707	     22.932	     30.284	     88.507	      1.634	     18.181	    4.617	    3.591	    5.581	    4.447
 1980	     1	    23	    3.555	     23.480	     30.273	     90.429	      1.484	     16.811	    4.179	    3.464	    5.221	    4.137
 1980	     1	    24	   10.400	     23.420	     31.029	     84.508	      2.119	     17.526	    3.836	    4.452	    5.437	    4.346
 1980	     1	    25	    4.826	     23.797	     31.447	     80.247	      2.357	     22.197	    5.485	    5.136	    6.781	    5.553
 1980	     1	    26	   13.110	     23.656	     31.250	     83.071	      1.861	     21.092	    5.105	    4.749	    6.454	    5.257
 1980	     1	    27	   11.007	     23.493	     30.544	     86.223	      1.825	     19.413	    5.596	    4.314	    5.953	    4.792
 1980	     1	    28	    7.996	     23.705	     30.454	     84.843	      1.790	     19.023	    4.624	    3.999	    5.850	    4.703
 1980	     1	    29	   10.721	     23.662	     28.403	     91.835	      1.707	     10.002	    4.652	    2.756	    3.351	    2.415
 1980	     1	    30	   15.555	     23.282	     29.753	     89.087	      0.960	     13.273	    5.078	    2.619	    4.239	    3.240
 1980	     1	    31	   13.149	     23.466	     30.496	     91.695	      1.186	     14.768	    5.113	    3.627	    4.666	    3.643
 1980	     2	     1	   21.017	     23.159	     31.071	     88.086	      1.167	     14.749	    6.089	    3.299	    4.663	    3.649
 1980	     2	     2	   19.604	     23.507	     28.122	     92.930	      1.124	      9.793	    4.726	    2.720	    3.290	    2.353
 1980	     2	     3	   12.373	     23.273	     29.888	     92.584	      1.407	     11.968	    3.443	    2.525	    3.887	    2.926
 1980	     2	     4	    6.058	     23.363	     30.338	     90.735	      1.517	     10.593	    2.962	    2.789	    3.520	    2.605
 1980	     2	     5	    1.729	     23.351	     29.274	     91.002	      1.572	     11.223	    3.817	    2.444	    3.681	    2.727
 1980	     2	     6	    7.696	     23.517	     30.663	     85.074	      1.846	     17.071	    3.204	    3.712	    5.310	    4.221
 1980	     2	     7	    2.270	     22.470	     30.505	     90.688	      1.573	     21.488	    3.184	    3.126	    6.498	    5.242
 1980	     2	     8	    2.522	     23.469	     29.645	     86.954	      1.618	     14.672	    4.157	    3.281	    4.628	    3.585
 1980	     2	     9	    6.062	     22.347	     27.296	     91.038	      1.375	     10.023	    2.654	    2.911	    3.317	    2.353
 1980	     2	    10	   11.229	     22.310	     28.053	     95.108	      1.081	      9.762	    3.252	    2.191	    3.255	    2.311
