CABra ID  	 93
ANA ID    	 32450002
Longitude 	 -46.593   	 dd
Latitude  	 -1.735    	 dd
Area      	 2731.40   	 km²
Elevation 	 66.16     	 m
 
p_ref, tmin_ref, tmax_ref, rh_ref, wnd_ref and srad_ref product are derived from the Xavier et al. (2016) dataset
et_ref product is derived from the GLEAM dataset
pet_pm was estimated by Penman-Monteith method
pet_pt was estimated by Priestley & Taylor method
pet_hg was estimated by Hargreaves method
 
 Year	 Month	   Day	    p_ref	   tmin_ref	   tmax_ref	     rh_ref	    wnd_ref	   srad_ref	   et_ref	   pet_pm	   pet_pt	   pet_hg
     	      	      	       mm	         °C	         °C	          %	      m s¯¹	     MJ m¯²	       mm	       mm	       mm	       mm
 1980	     1	     1	    2.807	     23.111	     32.990	     72.953	      1.847	     22.105	    3.021	    5.214	    6.767	    5.583
 1980	     1	     2	    0.367	     22.516	     33.193	     73.966	      1.916	     23.210	    3.378	    5.328	    7.068	    5.837
 1980	     1	     3	    0.160	     22.745	     32.121	     76.298	      1.695	     18.052	    2.263	    4.395	    5.577	    4.498
 1980	     1	     4	    0.960	     23.961	     32.997	     79.137	      1.671	     20.419	    2.147	    4.802	    6.317	    5.205
 1980	     1	     5	    0.778	     23.602	     32.183	     79.121	      1.583	     18.042	    3.281	    4.448	    5.606	    4.541
 1980	     1	     6	    4.207	     23.741	     31.822	     85.201	      1.356	     15.764	    3.992	    3.619	    4.964	    3.958
 1980	     1	     7	   15.199	     23.259	     32.491	     82.912	      1.304	     16.331	    3.263	    3.669	    5.121	    4.109
 1980	     1	     8	    7.004	     23.104	     32.590	     82.906	      1.485	     17.861	    4.000	    4.059	    5.549	    4.491
 1980	     1	     9	    1.928	     23.137	     30.060	     89.915	      1.283	     10.959	    6.401	    2.564	    3.602	    2.680
 1980	     1	    10	   47.547	     22.634	     30.067	     88.154	      0.838	     11.658	    2.695	    2.916	    3.778	    2.835
 1980	     1	    11	    4.066	     22.526	     29.846	     89.530	      0.754	     11.638	    4.174	    2.802	    3.767	    2.820
 1980	     1	    12	   14.379	     22.090	     31.335	     85.639	      0.845	     15.051	    2.188	    3.560	    4.707	    3.690
 1980	     1	    13	    8.309	     21.970	     28.098	     92.938	      0.640	      9.630	    4.348	    2.149	    3.202	    2.272
 1980	     1	    14	   44.203	     22.073	     29.972	     89.960	      1.008	     12.357	    5.736	    2.752	    3.951	    2.983
