CABra ID  	 98
ANA ID    	 33170000
Longitude 	 -45.778   	 dd
Latitude  	 -4.033    	 dd
Area      	 5997.48   	 km²
Elevation 	 224.48    	 m
 
p_ref, tmin_ref, tmax_ref, rh_ref, wnd_ref and srad_ref product are derived from the Xavier et al. (2016) dataset
et_ref product is derived from the GLEAM dataset
pet_pm was estimated by Penman-Monteith method
pet_pt was estimated by Priestley & Taylor method
pet_hg was estimated by Hargreaves method
 
 Year	 Month	   Day	    p_ref	   tmin_ref	   tmax_ref	     rh_ref	    wnd_ref	   srad_ref	   et_ref	   pet_pm	   pet_pt	   pet_hg
     	      	      	       mm	         °C	         °C	          %	      m s¯¹	     MJ m¯²	       mm	       mm	       mm	       mm
 1980	     1	     1	    1.389	     22.598	     32.325	     77.505	      1.444	     19.211	    3.281	    4.420	    5.942	    4.790
 1980	     1	     2	    1.132	     23.202	     31.870	     75.337	      1.922	     16.663	    2.381	    4.469	    5.234	    4.162
 1980	     1	     3	    1.024	     22.613	     30.771	     82.051	      1.307	     14.329	    2.333	    3.412	    4.546	    3.514
 1980	     1	     4	    8.036	     23.100	     32.070	     81.071	      1.579	     17.121	    1.611	    3.815	    5.364	    4.282
 1980	     1	     5	    2.403	     22.605	     30.725	     83.871	      1.587	     15.783	    1.853	    3.860	    4.954	    3.875
 1980	     1	     6	    0.569	     23.213	     32.969	     78.095	      1.412	     17.055	    2.739	    3.992	    5.368	    4.311
 1980	     1	     7	    2.381	     23.003	     32.182	     82.594	      1.564	     15.346	    1.761	    3.635	    4.864	    3.838
 1980	     1	     8	    2.089	     22.639	     32.569	     80.196	      1.501	     16.225	    3.671	    3.816	    5.107	    4.058
 1980	     1	     9	    7.126	     23.003	     30.046	     83.750	      1.212	     13.110	    2.861	    3.150	    4.211	    3.200
 1980	     1	    10	    6.105	     22.306	     30.104	     86.343	      1.269	     12.723	    2.559	    2.974	    4.087	    3.084
 1980	     1	    11	    6.247	     22.527	     28.724	     90.701	      1.156	     10.654	    2.860	    2.410	    3.517	    2.548
 1980	     1	    12	    7.560	     21.693	     31.242	     80.108	      1.278	     15.244	    2.042	    3.746	    4.780	    3.719
 1980	     1	    13	    8.992	     21.993	     28.114	     91.285	      1.113	     10.049	    2.707	    2.261	    3.337	    2.372
 1980	     1	    14	   11.290	     21.636	     29.284	     90.592	      1.335	     13.706	    2.104	    2.940	    4.322	    3.266
 1980	     1	    15	   39.554	     20.489	     29.826	     85.749	      1.338	     14.157	    3.996	    3.297	    4.419	    3.350
 1980	     1	    16	    7.553	     21.368	     31.945	     78.019	      1.145	     23.763	    3.446	    4.957	    7.174	    5.819
 1980	     1	    17	    1.206	     22.118	     31.146	     82.551	      1.195	     17.078	    3.407	    3.741	    5.299	    4.179
 1980	     1	    18	    5.958	     21.578	     31.479	     81.808	      1.216	     18.027	    2.836	    3.930	    5.552	    4.401
 1980	     1	    19	    9.039	     21.073	     29.188	     84.628	      1.178	     12.675	    3.206	    2.812	    4.027	    2.997
 1980	     1	    20	    2.220	     22.153	     31.401	     85.606	      1.277	     16.718	    3.266	    3.823	    5.207	    4.105
 1980	     1	    21	    3.486	     23.269	     32.634	     78.777	      0.999	     19.292	    3.725	    4.428	    6.001	    4.862
 1980	     1	    22	    0.451	     23.080	     32.467	     81.888	      1.787	     19.776	    3.442	    4.439	    6.128	    4.964
 1980	     1	    23	    4.203	     22.787	     30.804	     84.430	      1.720	     15.676	    3.118	    3.551	    4.927	    3.852
 1980	     1	    24	    1.355	     22.184	     32.101	     78.185	      1.769	     21.910	    2.811	    5.040	    6.689	    5.424
 1980	     1	    25	    1.177	     22.179	     32.529	     75.737	      2.015	     22.629	    3.528	    5.103	    6.910	    5.628
 1980	     1	    26	    0.582	     22.216	     32.966	     76.316	      1.433	     24.260	    3.351	    5.216	    7.398	    6.065
 1980	     1	    27	    3.144	     22.545	     32.555	     76.845	      2.130	     20.875	    3.261	    4.896	    6.424	    5.215
 1980	     1	    28	    4.274	     22.914	     31.618	     83.010	      1.714	     16.238	    3.432	    3.882	    5.104	    4.031
